,question,answer,ground_truth
0,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,"The Estatuto de los Trabajadores (ET) applies to workers and their working conditions. It includes provisions for wage regulations, representation of employers, and work-at-distance arrangements. The specific application of the ET depends on the context, such as the type of contract and the agreements between the employer and the employee.","Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
1,¿Qué se considera un empresario en la legislación laboral?,"En la legislación laboral, un empresario se refiere a una persona que posee y gestiona una empresa comercial o industrial. El empresario es responsable de la gestión diaria de la empresa, incluyendo la toma de decisiones estratégicas, la planificación y el control de los recursos, así como la supervisión del personal y la entrega de productos o servicios al cliente.","Serán empresarios todas las personas, físicas o jurídicas, o comunidades de bienes que reciban la prestación de servicios de las personas referidas en el apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas."
2,¿Qué relaciones laborales se excluyen de la aplicación del ET?,"The religious and philosophical beliefs of employees are not considered in the application of the ET. The ET applies to employees regardless of their religious or philosophical beliefs. However, if an employee's religious or philosophical belief makes it impossible for them to perform their job, the ET may consider this as a ground for redundancy. In such cases, the employer must follow a fair consultation process with the employee and their representatives.","Se excluyen del ámbito regulado por esta ley:
a) La relación de servicio de los funcionarios públicos, que se regirá por las correspon-dientes normas legales y reglamentarias, así como la del personal al servicio de las Administraciones Públicas y demás entes, organismos y entidades del sector público, cuando, al amparo de una ley, dicha relación se regule por normas administrativas o estatutarias.
b) Las prestaciones personales obligatorias.
c) La actividad que se limite, pura y simplemente, al mero desempeño del cargo de consejero o miembro de los órganos de administración en las empresas que revistan la forma jurídica de sociedad y siempre que su actividad en la empresa solo comporte la realización de cometidos inherentes a tal cargo.
d) Los trabajos realizados a título de amistad, benevolencia o buena vecindad.
e) Los trabajos familiares, salvo que se demuestre la condición de asalariados de quienes los llevan a cabo. Se considerarán familiares, a estos efectos, siempre que convivan con el empresario, el cónyuge, los descendientes, ascendientes y demás parientes por consanguinidad o afinidad, hasta el segundo grado inclusive y, en su caso, por adop-ción.
f) La actividad de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios, siempre que queden personalmente obligados a responder del buen fin de la operación asumiendo el riesgo y ventura de la misma.
g) En general, todo trabajo que se efectúe en desarrollo de relación distinta de la que define el apartado 1.
A tales efectos se entenderá excluida del ámbito laboral la actividad de las personas prestadoras del servicio de transporte al amparo de autorizaciones administrativas de las que sean titulares, realizada, mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo de disposición osten-ten, aun cuando dichos servicios se realicen de forma continuada para un mismo cargador o comercializador
"
3,"Si tengo una empresa española, ¿Se aplican los derechos económicos de la legislación española laboral a los trabajadores españoles contratados en España?","Sí, si tienes una empresa española, los derechos económicos de la legislación laboral española se aplicarán al trabajo que presten los trabajadores españoles contratados en España al servicio de empresas españolas en el extranjero. Estos trabajadores tendrán, al menos, los derechos económicos que les corresponderían de trabajar en territorio español. Sin perjuicios de las normas de orden público aplicables en el lugar de trabajo.",La legislación laboral española será de aplicación al trabajo que presten los trabajadores españoles contratados en España al servicio de empresas españolas en el extranjero
4, ¿Qué es un centro de trabajo?,"Un centro de trabajo se refiere a un lugar de trabajo productivo o relacionado con una empresa. Esto puede incluir escuelas, laboratorios y otros tipos de instalaciones específicas para la realización de las actividades del empresario. Los puestos del comité serán repartidos proporcionalmente en cada empresa.","se considera centro de trabajo la unidad productiva con organización específica, que sea dada de alta, como tal, ante la autoridad laboral."
5,¿Hay relaciones laborales de carácter especial?,"Yes, there are special labor relations. According to the provided context, these are related to employment and social security, as well as elections for representative organizations in the arts industry (theater, audiovisual, and musical) and technical or auxiliary activities necessary for their development. The definition of professional groups also considers factors such as gender segregation, job positions, classification systems, and remuneration to ensure the absence of discrimination.","
a) La del personal de alta dirección no incluido en el artículo 1.3.c
b) La del servicio del hogar familiar. 
c) La de los penados en las instituciones penitenciarias. 
d) La de los deportistas profesionales.
e) La de los artistas en espectáculos públicos.
f) La de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios sin asumir el riesgo y ventura de aquellas. 
g) La de los trabajadores con discapacidad que presten sus servicios en los centros especiales de empleo. 
i)  La de los menores sometidos a la ejecución de medidas de internamiento para el cumplimiento de su responsabilidad penal. 
j)   La de residencia para la formación de especialistas en Ciencias de la Salud.
k) La de los abogados que prestan servicios en despachos de abogados, individuales o colectivos. 
"
6, ¿Cuál es el marco legal al que están sujetas las relaciones laborales de carácter especial?,"The legal framework governing special labor relations is outlined in Article 25 of the Consolidated Laws on Legislation. It includes provisions for economic promotion based on the work performed, with the possibility of appeal to a competent judicial body. The decisions of the parity commission regarding the interpretation or application of collective agreements have the same legal effect as the agreements themselves. Conflict resolution procedures apply to both individual and collective disputes when parties agree to them.

The Adhesion and Extension section (Article 92) allows legitimate negotiating parties to adhere to the entirety of a valid collective agreement, provided they are not affected by another agreement. The Ministry of Employment and Social Security or the corresponding autonomous community authority can extend this application proportionally and transparently.

The section on fixed-term workers (Article 17) states that there should be no discrimination in labor relations. This includes provisions for informing fixed-term workers and their legal representatives about vacant permanent positions, allowing them to apply for voluntary conversion, and considering fixed-term workers as a prioritized group for professional training during periods of unemployment.",respetará los derechos básicos reconocidos por la Constitución.
7, ¿Dónde se regulan los derechos y obligaciones de la relación laboral? ¿Dónde tengo que acudir para conocer los derechos de las relaciones laborales?,"Los derechos y obligaciones de la relación laboral se regulan por las leyes y regulaciones aplicables a la industria o sector en el que se encuentran las partes involucradas. En el contexto proporcionado, se menciona que los trabajadores con discapacidad, menores sometidos a medidas de internamiento, residencia para la formación de especialistas en Ciencias de la Salud y abogados que prestan servicios en despachos de abogados son algunos ejemplos de grupos específicos con derechos y obligaciones regulados. Para conocer los derechos de las relaciones laborales, se recomienda consultar los artículos relevantes en el código laboral o consultar con un profesional legal o organización que se especialice en asuntos laborales.","disposiciones legales y reglamentarias del Estado.
convenios colectivos.
voluntad de las partes, manifestada en el contrato de trabajo, siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos  
usos y costumbres. 
"
8,¿Bajo qué principio se aplicarán las disposiciones legales y reglamentarias?,"Las disposiciones legales y reglamentarias se aplicarán con sujeción estricta al principio de jerarquía normativa. Las disposiciones reglamentarias desarrollarán los preceptos que establecen las normas de rango superior, pero no podrán establecer condiciones de trabajo distintas a las establecidas por las leyes.",sujeción estricta al principio de jerarquía normativa.
9,¿Qué sucede si hay preceptos contradictorios de dos o más normas laborales?,"En caso de preceptos contradictorios de dos o más normas laborales, la resolución dependerá de la aplicación del principio más favorable al trabajador. Si no hay disposiciones legales, convencionales o contractuales específicas, los usos y costumbres pueden aplicarse. Los trabajadores no pueden disponer válidamente de los derechos reconocidos por disposiciones legales de derecho necesario, ni de los derechos reconocidos como indisponibles por convenio colectivo.","se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables."
