,question,answer,ground_truth
0,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,"Según el Estatuto de los Trabajadores, el Estatuto se aplica a todos los trabajadores independientemente de su condición de empresario o autónomo. El objetivo es proteger los derechos de los trabajadores en relación con sus contratos laborales y garantizar una situación laboral justa e igualitaria.","Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
1,¿Qué se considera un empresario en la legislación laboral?,"Según lo establecido en el artículo 22 del código, un empresario es una persona física o jurídica que ejerce la actividad económica. No se proporciona más información específica sobre qué características debe tener un empresario para ser considerado como tal en la legislación laboral.","Serán empresarios todas las personas, físicas o jurídicas, o comunidades de bienes que reciban la prestación de servicios de las personas referidas en el apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas."
2,¿Qué relaciones laborales se excluyen de la aplicación del ET?,"No tengo información específica sobre las relaciones laborales que se excluyen de la aplicación del ET. Sin embargo, puedo decir que según el texto proporcionado, las empresas y los representantes legales de los trabajadores están informados sobre las solicitudes presentadas para dar solución a las discrepancias sobre la inaplicación de las condiciones de trabajo, lo cual sugiere que no se excluyen ciertas relaciones laborales de este proceso.","Se excluyen del ámbito regulado por esta ley:
a) La relación de servicio de los funcionarios públicos, que se regirá por las correspon-dientes normas legales y reglamentarias, así como la del personal al servicio de las Administraciones Públicas y demás entes, organismos y entidades del sector público, cuando, al amparo de una ley, dicha relación se regule por normas administrativas o estatutarias.
b) Las prestaciones personales obligatorias.
c) La actividad que se limite, pura y simplemente, al mero desempeño del cargo de consejero o miembro de los órganos de administración en las empresas que revistan la forma jurídica de sociedad y siempre que su actividad en la empresa solo comporte la realización de cometidos inherentes a tal cargo.
d) Los trabajos realizados a título de amistad, benevolencia o buena vecindad.
e) Los trabajos familiares, salvo que se demuestre la condición de asalariados de quienes los llevan a cabo. Se considerarán familiares, a estos efectos, siempre que convivan con el empresario, el cónyuge, los descendientes, ascendientes y demás parientes por consanguinidad o afinidad, hasta el segundo grado inclusive y, en su caso, por adop-ción.
f) La actividad de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios, siempre que queden personalmente obligados a responder del buen fin de la operación asumiendo el riesgo y ventura de la misma.
g) En general, todo trabajo que se efectúe en desarrollo de relación distinta de la que define el apartado 1.
A tales efectos se entenderá excluida del ámbito laboral la actividad de las personas prestadoras del servicio de transporte al amparo de autorizaciones administrativas de las que sean titulares, realizada, mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo de disposición osten-ten, aun cuando dichos servicios se realicen de forma continuada para un mismo cargador o comercializador
"
3,"Si tengo una empresa española, ¿Se aplican los derechos económicos de la legislación española laboral a los trabajadores españoles contratados en España?","Según la legislación española laboral, los derechos económicos de los trabajadores españoles contratados en España se aplican al trabajo realizado al servicio de empresas españolas en el extranjero. Estos derechos incluyen, al menos, los derechos económicos que les corresponderían trabajar en territorio español.",La legislación laboral española será de aplicación al trabajo que presten los trabajadores españoles contratados en España al servicio de empresas españolas en el extranjero
4, ¿Qué es un centro de trabajo?,"Un centro de trabajo se refiere a un lugar donde los trabajadores se reúnen para realizar sus tareas y actividades laborales. En este contexto, un centro de trabajo puede ser una oficina, una fábrica, un taller o cualquier otro espacio donde se desarrollan las actividades productivas de una empresa.","se considera centro de trabajo la unidad productiva con organización específica, que sea dada de alta, como tal, ante la autoridad laboral."
5,¿Hay relaciones laborales de carácter especial?,"Según lo establecido en la Ley, las relaciones laborales de carácter especial son aquellas que se ajustan a los umbrales indicados para las modificaciones colectivas o individuales. En este caso, se considera de carácter individual la modificación que no alcance los umbrales señalados para las modificaciones colectivas.

En particular, se establece que si se realizan modificaciones en el periodo de referencia sin alcanzar los umbrales indicados para las modificaciones colectivas, se considera una modificación de carácter individual. Además, se entiende por grupo profesional a un agrupamiento unitario de aptitudes profesionales, titulaciones y contenido general de la prestación.

En resumen, las relaciones laborales de carácter especial están sujetas a umbrales específicos que deben ser respetados para evitar considerarlas como modificaciones colectivas o individuales.","
a) La del personal de alta dirección no incluido en el artículo 1.3.c
b) La del servicio del hogar familiar. 
c) La de los penados en las instituciones penitenciarias. 
d) La de los deportistas profesionales.
e) La de los artistas en espectáculos públicos.
f) La de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios sin asumir el riesgo y ventura de aquellas. 
g) La de los trabajadores con discapacidad que presten sus servicios en los centros especiales de empleo. 
i)  La de los menores sometidos a la ejecución de medidas de internamiento para el cumplimiento de su responsabilidad penal. 
j)   La de residencia para la formación de especialistas en Ciencias de la Salud.
k) La de los abogados que prestan servicios en despachos de abogados, individuales o colectivos. 
"
6, ¿Cuál es el marco legal al que están sujetas las relaciones laborales de carácter especial?,"No tengo información suficiente para responder a esta pregunta. El contexto proporcionado se refiere principalmente a la legislación laboral española, específicamente a lo relacionado con el disfrute de tiempo parental y promoción económica, pero no aborda directamente el marco legal al que están sujetas las relaciones laborales de carácter especial en términos generales.",respetará los derechos básicos reconocidos por la Constitución.
7, ¿Dónde se regulan los derechos y obligaciones de la relación laboral? ¿Dónde tengo que acudir para conocer los derechos de las relaciones laborales?,"La regulación de derechos y obligaciones en las relaciones laborales se encuentra principalmente en los convenios colectivos, acuerdos entre la empresa y los trabajadores afectados o la representación legal de estos. También están reguladas por leyes específicas para cada caso, como las relacionadas con el trabajo remoto, los menores en internamiento por responsabilidad penal, etc.","disposiciones legales y reglamentarias del Estado.
convenios colectivos.
voluntad de las partes, manifestada en el contrato de trabajo, siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos  
usos y costumbres. 
"
8,¿Bajo qué principio se aplicarán las disposiciones legales y reglamentarias?,"La respuesta a la pregunta es que las disposiciones legales y reglamentarias se aplicarán bajo el principio de jerarquía normativa, lo que significa que las normas de rango superior tendrán prioridad sobre las normas de rango inferior. En este caso, las leyes y convenios colectivos tienen prioridad sobre los usos y costumbres locales y profesionales.",sujeción estricta al principio de jerarquía normativa.
9,¿Qué sucede si hay preceptos contradictorios de dos o más normas laborales?,"En caso de preceptos contradictorios de dos o más normas laborales, se resuelve mediante la aplicación del lo más favorable para el trabajador en su conjunto.","se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables."
