,question,answer,ground_truth
0,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?," El Estatuto de los Trabajadores (ET) se aplica a todos aquellos trabajadores que laboran en una empresa, incluyendo aquellos que han recibido especialización profesional con cargo al empleador para poner en marcha proyectos determinados o realizar un trabajo específico. Los trabajadores se clasificarán por medio de grupos profesionales y tienen derecho a acceder, a través de la representación legal de los trabajadores en la empresa, al registro salarial de su empresa.","Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
1,¿Qué se considera un empresario en la legislación laboral?," En la legislación laboral, un empresario es una persona que contrata a trabajadores para llevar a cabo actividades en su nombre y cuenta. La definición detallada se encuentra en el sistema de clasificación profesional, establecido mediante negociaciones colectivas o acuerdo entre la empresa y los representantes de los trabajadores.","Serán empresarios todas las personas, físicas o jurídicas, o comunidades de bienes que reciban la prestación de servicios de las personas referidas en el apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas."
2,¿Qué relaciones laborales se excluyen de la aplicación del ET?, La relación laboral que se excluye de la aplicación del Estatuto de Trabajadores son las relaciones laborales no cubiertas por los convenios colectivos de aplicación cuando dicha inaplicación afecte a centros de trabajo de la empresa situados en el territorio de la comunidad autónoma. No se especifica que otras relaciones laborales estén excluidas en el contexto proporcionado.,"Se excluyen del ámbito regulado por esta ley:
a) La relación de servicio de los funcionarios públicos, que se regirá por las correspon-dientes normas legales y reglamentarias, así como la del personal al servicio de las Administraciones Públicas y demás entes, organismos y entidades del sector público, cuando, al amparo de una ley, dicha relación se regule por normas administrativas o estatutarias.
b) Las prestaciones personales obligatorias.
c) La actividad que se limite, pura y simplemente, al mero desempeño del cargo de consejero o miembro de los órganos de administración en las empresas que revistan la forma jurídica de sociedad y siempre que su actividad en la empresa solo comporte la realización de cometidos inherentes a tal cargo.
d) Los trabajos realizados a título de amistad, benevolencia o buena vecindad.
e) Los trabajos familiares, salvo que se demuestre la condición de asalariados de quienes los llevan a cabo. Se considerarán familiares, a estos efectos, siempre que convivan con el empresario, el cónyuge, los descendientes, ascendientes y demás parientes por consanguinidad o afinidad, hasta el segundo grado inclusive y, en su caso, por adop-ción.
f) La actividad de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios, siempre que queden personalmente obligados a responder del buen fin de la operación asumiendo el riesgo y ventura de la misma.
g) En general, todo trabajo que se efectúe en desarrollo de relación distinta de la que define el apartado 1.
A tales efectos se entenderá excluida del ámbito laboral la actividad de las personas prestadoras del servicio de transporte al amparo de autorizaciones administrativas de las que sean titulares, realizada, mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo de disposición osten-ten, aun cuando dichos servicios se realicen de forma continuada para un mismo cargador o comercializador
"
3,"Si tengo una empresa española, ¿Se aplican los derechos económicos de la legislación española laboral a los trabajadores españoles contratados en España?"," Si tienes una empresa española, los trabajadores españoles contratados en España serán aplicables la legislación laboral española, salvo normas de orden público que se apliquen en el lugar de trabajo. Sin embargo, si los trabajadores españoles son contratados en el extranjero por una empresa española, seguirán siendo aplicables sus derechos económicos al menos equivalentes a los de trabajar en territorio español. La cesión de trabajadores solo puede efectuarse a través de empresas de trabajo temporal debidamente autorizadas. Las retribuciones del personal de alta dirección gozan de las garantías establecidas en ciertos artículos del Estatuto de los Trabajadores, y la regulación legal del salario no afectará a los conceptos retributivos que tuvieran reconocidos los trabajadores hasta el 12 de junio de 1994. Por último, si hay representantes institucionales de los empresarios para defender intereses generales en defensa ante las Administraciones Públicas y otras entidades o organismos, se pueden encontrar disposiciones adicionales en la legislación española laboral.",La legislación laboral española será de aplicación al trabajo que presten los trabajadores españoles contratados en España al servicio de empresas españolas en el extranjero
4, ¿Qué es un centro de trabajo?," Un centro de trabajo es una organización en la que se realiza el trabajo productivo, como una empresa. Los derechos y deberes derivados del contrato de trabajo están establecidos en la legislación laboral.","se considera centro de trabajo la unidad productiva con organización específica, que sea dada de alta, como tal, ante la autoridad laboral."
5,¿Hay relaciones laborales de carácter especial?," Las relaciones laborales de carácter especial pueden referirse a contratos y subcontratos con centros especiales de empleo, elecciones a órganos de representación en el ámbito de las personas artistas y técnicos/auxiliares en las artes escénicas, audiovisuales y musicales. Además, existen casos específicos como la modificación individual de más de treinta trabajadores en empresas que ocupan más de trescientos trabajadores. Los grupos profesionales se definen por sus aptitudes, titulaciones, contenido general de la prestación y pueden incluir distintas tareas, funciones, especialidades profesionales o responsabilidades asignadas al trabajador, teniendo como objetivo garantizar la ausencia de sesgos de género y otros criterios que afecten a las retribuciones.","
a) La del personal de alta dirección no incluido en el artículo 1.3.c
b) La del servicio del hogar familiar. 
c) La de los penados en las instituciones penitenciarias. 
d) La de los deportistas profesionales.
e) La de los artistas en espectáculos públicos.
f) La de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios sin asumir el riesgo y ventura de aquellas. 
g) La de los trabajadores con discapacidad que presten sus servicios en los centros especiales de empleo. 
i)  La de los menores sometidos a la ejecución de medidas de internamiento para el cumplimiento de su responsabilidad penal. 
j)   La de residencia para la formación de especialistas en Ciencias de la Salud.
k) La de los abogados que prestan servicios en despachos de abogados, individuales o colectivos. 
"
6, ¿Cuál es el marco legal al que están sujetas las relaciones laborales de carácter especial?," El marco legal al que están sujetas las relaciones laborales de carácter especial con medidas de acción positiva dirigidas a eliminar o compensar situaciones de discriminación se encuentra en el Artículo 17 y sección 2.ª Adhesión y extensión, artículo 92 de la Legislación Consolidada del Trabajo.",respetará los derechos básicos reconocidos por la Constitución.
7, ¿Dónde se regulan los derechos y obligaciones de la relación laboral? ¿Dónde tengo que acudir para conocer los derechos de las relaciones laborales?," La relación laboral se regula en la Ley General de Trabajo (LGT) y se aplica a todas las personas que prestan servicios como trabajadores independientemente de su condición, por ejemplo, personas con discapacidad, menores o abogados. Derechos básicos reconocidos por la Constitución se respetarán en estas relaciones laborales. Entre los derechos de las personas trabajadoras, se mencionan el derecho a determinar el ordenación del tiempo de trabajo, a realizar su trabajo total o parcialmente a distancia y derecho a ausentarse del trabajo por causa de fuerza mayor. Estos derechos pueden ser ejercitados de acuerdo con los convenios colectivos o acuerdos entre la empresa y las personas trabajadoras, o conforme al acuerdo entre la empresa y las personas trabajadoras afectadas. En su defecto, la concreción de estos derechos corresponderá a ellas. También se prohíbe la discriminación en las relaciones laborales.","disposiciones legales y reglamentarias del Estado.
convenios colectivos.
voluntad de las partes, manifestada en el contrato de trabajo, siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos  
usos y costumbres. 
"
8,¿Bajo qué principio se aplicarán las disposiciones legales y reglamentarias?," Los derechos y obligaciones en la relación laboral se regulan por las disposiciones legales y reglamentarias del Estado, los convenios colectivos y la voluntad de las partes (contrato de trabajo). Sin embargo, bajo ningún caso pueden establecerse condiciones menores o contrarias a las disposiciones legales y convenios colectivos. Las disposiciones reglamentarias desarrollarán los preceptos que establecen las normas de rango superior, pero no podrán establecer condiciones de trabajo distintas a las establecidas por las leyes a desarrollar. Esto se aplica con sujeción estricta al principio de jerarquía normativa.",sujeción estricta al principio de jerarquía normativa.
9,¿Qué sucede si hay preceptos contradictorios de dos o más normas laborales?," Si hay preceptos contradictorios de dos o más normas laborales, se resuelven mediante la aplicación del que sea más favorable para el trabajador, en cuanto al concepto cuantificable. En caso de no existir disposiciones específicas, los usos y costumbres pueden aplicarse si cuentan con una recepción o remisión expresa, y solo cuando no hay disposiciones legales, convencionales o contractuales que lo impidan.","se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables."
10,¿Qué valor tienen los usos y costumbres?," Los usos y costumbres tienen valor como elemento para facilitar la comunicación entre los trabajadores y el empresario, permitiendo reunirse y discutir sobre las cuestiones indicadas en el apartado 5, así como para contrastar puntos de vista o opiniones. Los informes que debe emitir el Comité de Empresa deben ser elaborados en un plazo máximo de quince días desde que hayan sido solicitados y remitidas las informaciones correspondientes. El Comité también tiene competencias para ejercer una labor de vigilancia en el cumplimiento de las normas vigentes en materia laboral, agrupando a los trabajadores por medio de grupos profesionales basado en criterios y sistemas que garanticen la ausencia de sesgos de género o discriminación laboral.","usos y costumbres solo se aplicarán en defecto de disposiciones legales, convencionales o contractuales, a no ser que cuenten con una recepción o remisión expresa."
11,¿Son renunciables los derechos laborales reconocidos? ¿Se puede disponer de los derechos del trabajador? ¿Se puede compensar económicamente los derechos de los trabajadores? ¿Podrán renunciar de alguno de sus derechos los trabajadores?,"1. Los derechos laborales reconocidos no son renunciables.
2. Se puede disponer de los derechos del trabajador, pero solo en el marco establecido por la ley y los acuerdos colectivos.
3. No se puede compensar económicamente los derechos de los trabajadores, ya que estos tienen un valor intrínseco que no es negociable.
4. Los trabajadores no pueden renunciar a alguno de sus derechos laborales reconocidos.
5. La comisión representativa puede ser compuesta por representantes legales de los trabajadores o miembros de las comisiones designadas en los centros de trabajo afectados, dependiendo del número de trabajadores que representen.
6. En el caso de cambio de titularidad del empresario, los mandatos de los representantes legales de los trabajadores no son extintos y seguirán ejerciendo sus funciones en los mismos términos y bajo las mismas condiciones que regían con anterioridad.
7. Si no hay representantes legales de los trabajadores, el cedente y el cesionario deben facilitar la información a los trabajadores que pudieran resultar afectados por la transmisión."," trabajadores no podrán disponer válidamente 
derechos que tengan reconocidos por disposiciones legales de derecho necesario. Tampoco podrán disponer válidamente de los derechos reconocidos como indisponibles por convenio colectivo."
12,¿Cuáles son los derechos laborales básicos? ¿Cuáles son los derechos básicos del trabajador?," Los derechos laborales básicos son los siguientes:
1. Derecho a la protección contra el desempleo.
2. Derecho a la igualdad de oportunidades en el empleo.
3. Derecho al trabajo seguro y saludable.
4. Derecho a una remuneración justa y equitativa.
5. Derecho a las horas regulares de trabajo.
6. Derecho a la protección en caso de maternidad o paternidad.
7. Derecho a la libertad sindical y de negociación colectiva.
8. Derecho a la protección contra el acoso laboral.","a) Trabajo y libre elección de profesión u oficio.
b) Libre sindicación.
c) Negociación colectiva.
d) Adopción de medidas de conflicto colectivo.
e) Huelga.
f) Reunión.
g) Información, consulta y participación en la empresa.
"
13,¿Cuáles son los derechos laborales del trabajador en relación con el trabajo? ¿Qué derechos laborales son reclamables por el trabajador?," Los derechos laborales del trabajador en relación con el trabajo incluyen la jornada laboral, la posibilidad de reclamar ante la jurisdicción social cuando se cumpla ciertas condiciones, y la posibilidad de establecer periodos distintos de los establecidos para reclamar cobertura de vacantes mediante negociación colectiva. Además, el trabajador tiene derecho a que no se le concierta un nuevo periodo de prueba si continúa en la empresa al final del contrato formativo, y los contratos formativos celebrados en fraude de ley o con incumplimiento de las obligaciones formativas se entienden como contratos indefinidos de carácter ordinario. También hay requisitos establecidos reglamentariamente para la celebración de los contratos formativos, tales como el número de contratos por tamaño de centro de trabajo, las personas en formación por tutor o tutora, y las exigencias en relación con la estabilidad de la plantilla. Los trabajadores tienen derecho a organizarse mediante grupos profesionales, que se definen por aptitudes, titulaciones y contenido general de la prestación, y pueden incluir distintas tareas, funciones o responsabilidades asignadas al trabajador. La definición de los grupos profesionales se basa en criterios que tengan como objetivo garantizar la ausencia de sesgos de género.","
a) A la ocupación efectiva.
b) A la promoción y formación profesional en el trabajo, i
c) A no ser discriminados directa o indirectamente para el empleo, 
d) A su integridad física y a una adecuada política de prevención de riesgos laborales.
e) Al respeto de su intimidad y a la consideración debida a su dignidad, 
f) A la percepción puntual de la remuneración pactada o legalmente establecida.
g) Al ejercicio individual de las acciones derivadas de su contrato de trabajo.
h) A cuantos otros se deriven específicamente del contrato de trabajo.
"
14, ¿Cuáles son los deberes laborales de los trabajadores? ¿Cuáles son las obligaciones de los trabajadores? ¿Qué es exigible por parte del trabajador? ," Los trabajadores tienen como deberes básicos cumplir con las obligaciones concretas de su puesto de trabajo, de conformidad con las reglas de la buena fe y diligencia; observar las medidas de prevención de riesgos laborales que se adopten; cumplir las órdenes e instrucciones del empresario en el ejercicio regular de sus facultades directivas; no concurrir con la actividad de la empresa, en los términos fijados en esta ley; contribuir a la mejora de la productividad y cumplir los deberes que se derivan del respectivo contrato de trabajo.","a) Cumplir con las obligaciones concretas de su puesto de trabajo, de conformidad con las reglas de la buena fe y diligencia.
b) Observar las medidas de prevención de riesgos laborales que se adopten.
c) Cumplir las órdenes e instrucciones del empresario en el ejercicio regular de sus facultades directivas.
d) No concurrir con la actividad de la empresa, en los términos fijados en esta ley.
e) Contribuir a la mejora de la productividad.
f) Cuantos se deriven, en su caso, de los respectivos contratos de trabajo.
"
15,¿Cuál es la edad mínima para trabajar?," No existe una edad mínima especificada en el contexto proporcionado para empezar a trabajar. El texto solo establece normas sobre la suspensión del contrato de trabajo, no acerca de su inicio.",Se prohíbe la admisión al trabajo a los menores de dieciséis años.
