,question,answer,ground_truth
0,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,"El Estatuto de los Trabajadores (ET) se aplica en casos de despido cuando el despido se proclama después de más de noventa días hábiles desde la fecha en que se presentó la demanda. En este caso, el empresario puede reclamar el abono de la percepción económica a la que se refiere el apartado 2, correspondiente al tiempo que exceda de dichos noventa días hábiles. Además, en los casos de despido, si con arreglo a este apartado se son por cuenta del Estado los salarios de tramitación, serán con cargo al mismo las cuotas de la Seguridad Social correspondientes a dichos salaries.","Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
1,¿Qué se considera un empresario en la legislación laboral?,"Un empresario, en la legislación laboral, se refiere a una persona o entidad que tiene un empleo fijo y remunerado en su empresa. En el contexto proporcionado, un empresario es alguien que contrata a sus trabajadores a tiempo completo y les otorga un contrato formalizado en escrito. Si el empresario no tiene trabajadores a tiempo completo, se considerará la jornada a tiempo completo prevista en el convenio colectivo de aplicación o la jornada máxima legal. Además, un empresario puede tener derecho a formar parte del grupo de trabajadores y ser representado por su jefe.","Serán empresarios todas las personas, físicas o jurídicas, o comunidades de bienes que reciban la prestación de servicios de las personas referidas en el apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas."
2,¿Qué relaciones laborales se excluyen de la aplicación del ET?,"The relational laboratory relationships that are exempt from the application of ET are not explicitly mentioned in the provided context. However, it is stated that the law aims to achieve genuine and effective gender equality by lowering the limit of the previous paragraph until the retirement age set by the Social Security for the percentage of women employed independently in the same economic activity. It also mentions that the activities considered for this condition will be those defined by the National Classification of Economic Activities (CNAE) codes in force at the time, including those within the scope of the applicable agreement based on the data provided upon registering and depositing labor agreements and equality plans. Additionally, it is stated that companies must inform fixed-term workers and their legal representatives about the existence of permanent ordinary job vacancies, allowing them to submit voluntary conversion requests according to the procedures established by the sectorial collective agreement or, in its absence, the company agreement. Fixed-term workers will also have priority access to professional training initiatives for employment in the labor market during periods of inactivity. The law also prohibits discrimination in labor relations, with certain precepts, collective agreements, individual agreements, and unilateral decisions by employers being null and void regarding working shifts, working hours, work time distribution, shift systems, annual planning of vacations, adaptation to the company's professional classification of workers, adaptation of aspects of the contraction modalities provided for by the law to collective agreements, and measures to favor the responsibility and balance between work, family, and personal life. Certain other agreements and collective agreements regarding article 83.2 will have equal applicability in these matters, with collective agreements for a group of companies or a plurality of companies connected by organizational or productive reasons having priority over those mentioned in article 87.1. Lastly, agreements and collective agreements referred to in article 83.2 cannot have the priority provided for in this section.","Se excluyen del ámbito regulado por esta ley:
a) La relación de servicio de los funcionarios públicos, que se regirá por las correspon-dientes normas legales y reglamentarias, así como la del personal al servicio de las Administraciones Públicas y demás entes, organismos y entidades del sector público, cuando, al amparo de una ley, dicha relación se regule por normas administrativas o estatutarias.
b) Las prestaciones personales obligatorias.
c) La actividad que se limite, pura y simplemente, al mero desempeño del cargo de consejero o miembro de los órganos de administración en las empresas que revistan la forma jurídica de sociedad y siempre que su actividad en la empresa solo comporte la realización de cometidos inherentes a tal cargo.
d) Los trabajos realizados a título de amistad, benevolencia o buena vecindad.
e) Los trabajos familiares, salvo que se demuestre la condición de asalariados de quienes los llevan a cabo. Se considerarán familiares, a estos efectos, siempre que convivan con el empresario, el cónyuge, los descendientes, ascendientes y demás parientes por consanguinidad o afinidad, hasta el segundo grado inclusive y, en su caso, por adop-ción.
f) La actividad de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios, siempre que queden personalmente obligados a responder del buen fin de la operación asumiendo el riesgo y ventura de la misma.
g) En general, todo trabajo que se efectúe en desarrollo de relación distinta de la que define el apartado 1.
A tales efectos se entenderá excluida del ámbito laboral la actividad de las personas prestadoras del servicio de transporte al amparo de autorizaciones administrativas de las que sean titulares, realizada, mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo de disposición osten-ten, aun cuando dichos servicios se realicen de forma continuada para un mismo cargador o comercializador
"
3,"Si tengo una empresa española, ¿Se aplican los derechos económicos de la legislación española laboral a los trabajadores españoles contratados en España?","Sí, se aplican los derechos económicos de la legislación española laboral a los trabajadores españoles contratados en España, incluso si la empresa es una empresa con actividad en el territorio de al menos dos Estados miembros de la Unión Europea. Sin embargo, hay algunas excepciones, como cuando los trabajadores sean personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios sin asumir el riesgo y ventura de aquellas, o cuando se trate de procedimientos concursales solicitados en España en relación con una empresa con actividad en otro Estado miembro de la Unión Europea. En estos casos, la regulación de las relaciones laborales respetará los derechos básicos reconocidos por la Constitución.",La legislación laboral española será de aplicación al trabajo que presten los trabajadores españoles contratados en España al servicio de empresas españolas en el extranjero
4, ¿Qué es un centro de trabajo?,"Un centro de trabajo es una instalación industrial que se utiliza para producir productos o servicios. Es una área designada para realizar actividades manuales o técnicas que ayudan a crear, transformar o procesar materiales. Los centros de trabajo pueden ser pequeños o grandes, dependiendo del tamaño y la complejidad de las operaciones que se realizan allí.","se considera centro de trabajo la unidad productiva con organización específica, que sea dada de alta, como tal, ante la autoridad laboral."
5,¿Hay relaciones laborales de carácter especial?,"No, no hay relaciones laborales de carácter especial. Todos los empleados y empleadas son tratados con igualdad y justicia en el trabajo.","
a) La del personal de alta dirección no incluido en el artículo 1.3.c
b) La del servicio del hogar familiar. 
c) La de los penados en las instituciones penitenciarias. 
d) La de los deportistas profesionales.
e) La de los artistas en espectáculos públicos.
f) La de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios sin asumir el riesgo y ventura de aquellas. 
g) La de los trabajadores con discapacidad que presten sus servicios en los centros especiales de empleo. 
i)  La de los menores sometidos a la ejecución de medidas de internamiento para el cumplimiento de su responsabilidad penal. 
j)   La de residencia para la formación de especialistas en Ciencias de la Salud.
k) La de los abogados que prestan servicios en despachos de abogados, individuales o colectivos. 
"
6, ¿Cuál es el marco legal al que están sujetas las relaciones laborales de carácter especial?,"Las relaciones laborales de carácter especial, como those of temporary or part-time workers, are subject to the principle of proportionality and transparency. This means that employers must inform these workers about the availability of regular positions before they can apply for conversion (Artículo 17, Sección 2). These workers also have the right to prioritized access to professional training during periods of inactivity (Sección 2, Artículo 17).

The regulation of labor rights and obligations involves legal, collective bargaining, and contractual provisions. Legal provisions establish the basic rules for employment, while collective bargaining agreements provide more specific guidelines. The agreement between the parties in the employment contract is also an important factor, as long as it does not weaken the worker's position (Sección 2, punto c). Local and professional customs may also influence labor relations (Sección 2, punto d).

The legal provisions take precedence over collective bargaining agreements, but they cannot establish conditions of work that are different from those set by laws (Boletín Oficial del Estado, Legislación Consolidada, Página 10).",respetará los derechos básicos reconocidos por la Constitución.
7, ¿Dónde se regulan los derechos y obligaciones de la relación laboral? ¿Dónde tengo que acudir para conocer los derechos de las relaciones laborales?,"Los derechos y obligaciones de la relación laboral se regulan por las leyes y convenios colectivos específicos para cada industria o grupo de empresas. Para conocer los derechos de la relación laboral, puedes acudir a la autoridad laboral o a la oficina de protección social en tu país.","disposiciones legales y reglamentarias del Estado.
convenios colectivos.
voluntad de las partes, manifestada en el contrato de trabajo, siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos  
usos y costumbres. 
"
8,¿Bajo qué principio se aplicarán las disposiciones legales y reglamentarias?,"Las disposiciones legales y reglamentarias se aplicarán con sujeción estricta al principio de jerarquía normativa, lo que significa que las disposiciones reglamentarias se utilizarán para desarrollar los preceptos establecidos en las leyes. No pueden establecer condiciones de trabajo distintas a las establecidas por las leyes. Las convenios colectivos también tienen que determinar las partes involucradas, el ámbito, la funcionalidad, el territorio y temporalidad, así como los procedimientos para solventar discrepancias y la forma y condiciones de denuncia del convenio. Además, se debe designar una comisión paritaria de representación de las partes negociadoras para entender cuestiones establecidas en la ley. Contratos celebrados antes de la entrada en vigor de esta ley seguirán siendo de aplicación a las normas específicas aplicables a cada una de las modalidades contractuales que estuvieran vigentes en el momento de su consecución. Las referencias realizadas en las disposiciones legales, reglamentarias o en los convenios colectivos al contrato para la formación deberán entenderse realizadas a partir del 31 de agosto de 2011, al contrato para la formación y el aprendizaje.",sujeción estricta al principio de jerarquía normativa.
9,¿Qué sucede si hay preceptos contradictorios de dos o más normas laborales?,"Si hay preceptos contradictorios de dos o más normas laborales, se resolverán mediante la aplicación de lo más favorable para el trabajador, en todo caso respeto los mínimos de derecho necesario. Los usos y costumbres solo se aplicarán en defecto de disposiciones legales, convencionales o contractuales, a no ser que cuenten con una recepción o remisión expresa. Los trabajadores no podrán disponer válidamente de los derechos que tengan reconocidos por disposiciones legales de derecho necesario. Tampoco podrán disponer válidamente de los derechos reconocidos como indisponibles por convenio colectivo.","se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables."
