,question,answer,ground_truth
0,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,No sé a quién se le aplica el Estatuto de los Trabajadores. La pregunta no indica si es para una persona trabajadora respecto de la empresa de la que depende o si se refiere a otra persona trabajadora.,"Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
1,¿Qué se considera un empresario en la legislación laboral?,"No tengo información específica sobre qué se considera un empresario en la legislación laboral. Sin embargo, según los artículos mencionados, un empresario es una persona física o jurídica que celebra contratos de trabajo con trabajadores y cumple las obligaciones inherentes a dichas relaciones laborales.","Serán empresarios todas las personas, físicas o jurídicas, o comunidades de bienes que reciban la prestación de servicios de las personas referidas en el apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas."
2,¿Qué relaciones laborales se excluyen de la aplicación del ET?,"Según el artículo 17 de la normativa, las relaciones laborales que se excluyen de la aplicación del ET (Estatuto del Trabajo) son aquellas que establezcan trabajos a turnos, específicamente:

b) El horario y la distribución del tiempo de trabajo
c) La adaptación al ámbito de la empresa del sistema de clasificación profesional de las personas trabajadoras.
d) La adaptación de los aspectos de las modalidades de contratación que se atribuyen por esta ley a los convenios de empresa.
e) Las medidas para favorecer la corresponsabilidad y la conciliación entre la vida laboral, familiar y personal.

Estas relaciones laborales están sujetas a las normas establecidas en los convenios colectivos y acuerdos específicos.","Se excluyen del ámbito regulado por esta ley:
a) La relación de servicio de los funcionarios públicos, que se regirá por las correspon-dientes normas legales y reglamentarias, así como la del personal al servicio de las Administraciones Públicas y demás entes, organismos y entidades del sector público, cuando, al amparo de una ley, dicha relación se regule por normas administrativas o estatutarias.
b) Las prestaciones personales obligatorias.
c) La actividad que se limite, pura y simplemente, al mero desempeño del cargo de consejero o miembro de los órganos de administración en las empresas que revistan la forma jurídica de sociedad y siempre que su actividad en la empresa solo comporte la realización de cometidos inherentes a tal cargo.
d) Los trabajos realizados a título de amistad, benevolencia o buena vecindad.
e) Los trabajos familiares, salvo que se demuestre la condición de asalariados de quienes los llevan a cabo. Se considerarán familiares, a estos efectos, siempre que convivan con el empresario, el cónyuge, los descendientes, ascendientes y demás parientes por consanguinidad o afinidad, hasta el segundo grado inclusive y, en su caso, por adop-ción.
f) La actividad de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios, siempre que queden personalmente obligados a responder del buen fin de la operación asumiendo el riesgo y ventura de la misma.
g) En general, todo trabajo que se efectúe en desarrollo de relación distinta de la que define el apartado 1.
A tales efectos se entenderá excluida del ámbito laboral la actividad de las personas prestadoras del servicio de transporte al amparo de autorizaciones administrativas de las que sean titulares, realizada, mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo de disposición osten-ten, aun cuando dichos servicios se realicen de forma continuada para un mismo cargador o comercializador
"
3,"Si tengo una empresa española, ¿Se aplican los derechos económicos de la legislación española laboral a los trabajadores españoles contratados en España?","No tengo información específica sobre si los derechos económicos de la legislación española laboral se aplican a los trabajadores españoles contratados en España. Sin embargo, puedo decir que la legislación laboral europea y nacional pueden tener algunas similitudes y diferencias en cuanto a los derechos de los trabajadores.",La legislación laboral española será de aplicación al trabajo que presten los trabajadores españoles contratados en España al servicio de empresas españolas en el extranjero
4, ¿Qué es un centro de trabajo?,Un centro de trabajo es un lugar físico donde una empresa tiene establecidos sus servicios o actividades.,"se considera centro de trabajo la unidad productiva con organización específica, que sea dada de alta, como tal, ante la autoridad laboral."
5,¿Hay relaciones laborales de carácter especial?,"En relación con la pregunta sobre relaciones laborales de carácter especial, hay algunos aspectos destacados:

1. **Conversión voluntaria**: La empresa debe informar a personas fijas-discontinuas y a su representación legal sobre puestos vacantes de carácter fijo ordinario para que puedan solicitar conversión voluntaria.

2. **Colectivo prioritario**: Las personas trabajadoras fijas-discontinuas tienen la consideración de colectivo priorizado para el acceso a iniciativas de formación profesional durante períodos de inactividad.

3. **No discriminación**: Se prohíbe la discriminación en las relaciones laborales, lo que significa que se entenderán nulos y sin efecto los preceptos reglamentarios, convenios colectivos, pactos individuales y decisiones unilaterales del empresario que discriminan a algún grupo de personas.","
a) La del personal de alta dirección no incluido en el artículo 1.3.c
b) La del servicio del hogar familiar. 
c) La de los penados en las instituciones penitenciarias. 
d) La de los deportistas profesionales.
e) La de los artistas en espectáculos públicos.
f) La de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios sin asumir el riesgo y ventura de aquellas. 
g) La de los trabajadores con discapacidad que presten sus servicios en los centros especiales de empleo. 
i)  La de los menores sometidos a la ejecución de medidas de internamiento para el cumplimiento de su responsabilidad penal. 
j)   La de residencia para la formación de especialistas en Ciencias de la Salud.
k) La de los abogados que prestan servicios en despachos de abogados, individuales o colectivos. 
"
6, ¿Cuál es el marco legal al que están sujetas las relaciones laborales de carácter especial?,"Según el texto legal, el marco legal al que están sujetas las relaciones laborales de carácter especial son:

1. Las disposiciones legales y reglamentarias del Estado (Artículo 17, punto a).
2. Los convenios colectivos (Artículo 17, punto b).
3. La voluntad de las partes, manifestada en el contrato de trabajo (Artículo 17, punto c).
4. Los usos y costumbres locales y profesionales (Artículo 17, punto d).

Es importante destacar que estas normas se aplican con sujeción estricta al principio de jerarquía normativa, es decir, las disposiciones legales y reglamentarias prevalecen sobre los convenios colectivos y la voluntad de las partes, y estos a su vez prevalecen sobre los usos y costumbres locales y profesionales.",respetará los derechos básicos reconocidos por la Constitución.
7, ¿Dónde se regulan los derechos y obligaciones de la relación laboral? ¿Dónde tengo que acudir para conocer los derechos de las relaciones laborales?,"La regulación de los derechos y obligaciones de las relaciones laborales se establece en varias leyes y convenios colectivos, dependiendo del tipo de relación laboral. Sin embargo, para todas estas relaciones, la Constitución reconoce los derechos básicos mencionados en el Artículo 3.

En cuanto a dónde acudir para conocer los derechos de las relaciones laborales, hay varias opciones:

- La empresa debe informar a las personas fijas-discontinuas sobre la existencia de puestos de trabajo vacantes de carácter fijo ordinario.
- Las personas trabajadoras fijas-discontinuas tienen la consideración de colectivo prioritario para el acceso a las iniciativas de formación del sistema de formación profesional para el empleo en el ámbito laboral durante los periodos de inactividad.

Para conocer más sobre los derechos específicos de cada relación laboral, es recomendable consultar:

- La Ley del Trabajo (en su versión actualizada)
- Convenios colectivos sectoriales o de empresa relevantes
- Acuerdos de la empresa","disposiciones legales y reglamentarias del Estado.
convenios colectivos.
voluntad de las partes, manifestada en el contrato de trabajo, siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos  
usos y costumbres. 
"
8,¿Bajo qué principio se aplicarán las disposiciones legales y reglamentarias?,No sabes la respuesta a esta pregunta específica.,sujeción estricta al principio de jerarquía normativa.
9,¿Qué sucede si hay preceptos contradictorios de dos o más normas laborales?,"No sabes la respuesta específica a esta pregunta, pero puedo proporcionarte una explicación general basada en el contexto proporcionado.

Si hay preceptos contradictorios entre dos o más normas laborales, se deberían aplicar los principios establecidos en el derecho laboral. En primer lugar, las disposiciones legales y reglamentarias tendrán prioridad debido al principio de jerarquía normativa. Luego, se podrían considerar los convenios colectivos, pero siempre respetando los mínimos de derecho necesario. Los usos y costumbres locales y profesionales solo serían aplicables en defecto de disposiciones legales o convencionales, y no necesariamente tendrían prioridad.

Es importante destacar que los trabajadores no pueden disponer de sus derechos laborales de manera válida antes o después de su adquisición, salvo que estén establecidos como indisponibles por convenio colectivo.","se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables."
