,question,answer,ground_truth
0,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?," El Estatuto de los Trabajadores (ET) se aplica a las personas trabajadoras de la empresa principal y las empresas contratistas y subcontratistas cuando comparten un centro de trabajo continuadamente. Además, se aplica al personal temporal que se contrata para ser cedido temporalmente a otra empresa solo por medio de empresas de trabajo temporal autorizadas legalmente.","Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
1,¿Qué se considera un empresario en la legislación laboral?," El empresario, en el contexto laboral según la legislación especificada, es una persona física o jurídica que contrata a un trabajador a tiempo parcial.","Serán empresarios todas las personas, físicas o jurídicas, o comunidades de bienes que reciban la prestación de servicios de las personas referidas en el apartado anterior, así como de las personas contratadas para ser cedidas a empresas usuarias por empresas de trabajo temporal legalmente constituidas."
2,¿Qué relaciones laborales se excluyen de la aplicación del ET?," Las relaciones laborales que excluyen de la aplicación del ET son las siguientes:

1. Los trabajos realizados por turnos, en los casos en que el convenio colectivo sectorial no establezca procedimientos.
2. La adaptación del sistema de clasificación profesional de las personas trabajadoras, cuando no se adapta al ámbito de la empresa como se dispone en la ley.
3. Las medidas que favorecen la corresponsabilidad y la conciliación entre la vida laboral, familiar y personal cuando no se establezcan en los acuerdos y convenios colectivos aplicables.
4. Aquellas otras medidas que dispongan los acuerdos y convenios colectivos que estén exentas de la prioridad aplicativa prevista en este apartado, según lo dispuesto en la ley.","Se excluyen del ámbito regulado por esta ley:
a) La relación de servicio de los funcionarios públicos, que se regirá por las correspon-dientes normas legales y reglamentarias, así como la del personal al servicio de las Administraciones Públicas y demás entes, organismos y entidades del sector público, cuando, al amparo de una ley, dicha relación se regule por normas administrativas o estatutarias.
b) Las prestaciones personales obligatorias.
c) La actividad que se limite, pura y simplemente, al mero desempeño del cargo de consejero o miembro de los órganos de administración en las empresas que revistan la forma jurídica de sociedad y siempre que su actividad en la empresa solo comporte la realización de cometidos inherentes a tal cargo.
d) Los trabajos realizados a título de amistad, benevolencia o buena vecindad.
e) Los trabajos familiares, salvo que se demuestre la condición de asalariados de quienes los llevan a cabo. Se considerarán familiares, a estos efectos, siempre que convivan con el empresario, el cónyuge, los descendientes, ascendientes y demás parientes por consanguinidad o afinidad, hasta el segundo grado inclusive y, en su caso, por adop-ción.
f) La actividad de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios, siempre que queden personalmente obligados a responder del buen fin de la operación asumiendo el riesgo y ventura de la misma.
g) En general, todo trabajo que se efectúe en desarrollo de relación distinta de la que define el apartado 1.
A tales efectos se entenderá excluida del ámbito laboral la actividad de las personas prestadoras del servicio de transporte al amparo de autorizaciones administrativas de las que sean titulares, realizada, mediante el correspondiente precio, con vehículos comerciales de servicio público cuya propiedad o poder directo de disposición osten-ten, aun cuando dichos servicios se realicen de forma continuada para un mismo cargador o comercializador
"
3,"Si tengo una empresa española, ¿Se aplican los derechos económicos de la legislación española laboral a los trabajadores españoles contratados en España?"," Si una empresa tiene actividad en el territorio de al menos dos Estados miembros de la UE, incluyendo España, y se solicita un procedimiento concursal basado en la insolvencia del empresario en un Estado miembro distinto de España, las relaciones laborales con los trabajadores españoles ejercen o ejercitaron habitualmente su trabajo en España serán reguladas según el derecho español y se aplicarán los derechos económicos establecidos en la legislación española laboral. Este principio de aplicación de la ley es válido, a menos que concurran otras circunstancias específicas contempladas en la legislación.",La legislación laboral española será de aplicación al trabajo que presten los trabajadores españoles contratados en España al servicio de empresas españolas en el extranjero
4, ¿Qué es un centro de trabajo?," Centro de trabajo es una oficina o ubicación donde se realiza la actividad profesional de una empresa, en la que trabajan empleados. La transición de un centro de trabajo a otro tiene una duración inicial de seis a doce meses y, después del periodo, las personas trabajadoras pueden decidir regresar al puesto anterior, continuar en el nuevo o extender su contrato mientras perciben indemnización si decide abandonar.","se considera centro de trabajo la unidad productiva con organización específica, que sea dada de alta, como tal, ante la autoridad laboral."
5,¿Hay relaciones laborales de carácter especial?,"1. Si una persona trabajadora desea convertir su puesto de trabajo discontinuo en uno fijo ordinario, se debe hacerlo de acuerdo con los procedimientos establecidos por el convenio colectivo sectorial o, en su defecto, el acuerdo de la empresa.
2. Las personas trabajadoras fijas y discontinuas tienen preferencia para acceder a las iniciativas de formación profesional durante los periodos de inactividad laboral.
3. No existe discriminación en las relaciones laborales basadas en criterios como el sexo, la edad, la orientación sexual o identidad de género.","
a) La del personal de alta dirección no incluido en el artículo 1.3.c
b) La del servicio del hogar familiar. 
c) La de los penados en las instituciones penitenciarias. 
d) La de los deportistas profesionales.
e) La de los artistas en espectáculos públicos.
f) La de las personas que intervengan en operaciones mercantiles por cuenta de uno o más empresarios sin asumir el riesgo y ventura de aquellas. 
g) La de los trabajadores con discapacidad que presten sus servicios en los centros especiales de empleo. 
i)  La de los menores sometidos a la ejecución de medidas de internamiento para el cumplimiento de su responsabilidad penal. 
j)   La de residencia para la formación de especialistas en Ciencias de la Salud.
k) La de los abogados que prestan servicios en despachos de abogados, individuales o colectivos. 
"
6, ¿Cuál es el marco legal al que están sujetas las relaciones laborales de carácter especial?," Las relaciones laborales de carácter especial están sujetas al marco legal que regula las relaciones laborales en general, que incluye principios como proporcionalidad y transparencia. En cuanto a los derechos y deberes derivados del contrato, esta regulada por la legislación vigente, convenios colectivos, voluntad de las partes en el contrato de trabajo, así como por usos y costumbres locales y profesionales. Además, en relación con la no discriminación en las relaciones laborales, se establecen medidas para alcanzar la igualdad real y efectiva entre mujeres y hombres en el ámbito laboral.",respetará los derechos básicos reconocidos por la Constitución.
7, ¿Dónde se regulan los derechos y obligaciones de la relación laboral? ¿Dónde tengo que acudir para conocer los derechos de las relaciones laborales?," Los derechos y obligaciones de las relaciones laborales están regulados por la ley y pueden variar según el tipo de trabajo, como trabajadores fijos o no fijos. Para conocer los derechos en particular, hay que consultar la legislación laboral local y también los convenios colectivos que se apliquen a su empresa o sector específico.
La ley debería respetar los derechos básicos reconocidos por la Constitución. Algunos ejemplos de derechos en las relaciones laborales incluyen:
- No discriminación
- Horario y distribución del tiempo de trabajo
- Adaptación al sistema de clasificación profesional
- La adaptación de los aspectos de las modalidades de contratación
- Medidas para favorecer la conciliación entre la vida laboral, familiar y personal
Se recomienda consultar al departamento local de trabajo o un abogado especializado en derecho laboral para obtener más información.","disposiciones legales y reglamentarias del Estado.
convenios colectivos.
voluntad de las partes, manifestada en el contrato de trabajo, siendo su objeto lícito y sin que en ningún caso puedan establecerse en perjuicio del trabajador condiciones menos favorables o contrarias a las disposiciones legales y convenios colectivos  
usos y costumbres. 
"
8,¿Bajo qué principio se aplicarán las disposiciones legales y reglamentarias?," Las disposiciones legales y reglamentarias se aplicarán bajo el principio de jerarquía normativa, con sujeción estricta a este principio. El contenido mínimo de los convenios colectivos debe incluir determinación de las partes que los conciertan, ámbito personal, funcional, territorial y temporal, procedimientos para solventar discrepancias, forma y condiciones de denuncia del convenio, así como la designación de una comisión paritaria de representación. Los contratos celebrados antes de la entrada en vigor de la ley continuarán siendo aplicables las normas específicas aplicables a cada modalidad contractual vigente en el momento del contrato, salvo que otra cosa se hubiera establecido legalmente. También es importante tener en cuenta disposiciones transitorias relativas al contrato para la formación y el aprendizaje a partir del 31 de agosto de 2011, y los contratos a tiempo parcial por jubilación parcial y de relevo y edad de jubilación.",sujeción estricta al principio de jerarquía normativa.
9,¿Qué sucede si hay preceptos contradictorios de dos o más normas laborales?," Si hay preceptos contradictorios entre dos o más normas laborales, se resolverán los conflictos mediante la aplicación de lo más favorable para el trabajador en su conjunto y en cómputo anual, respecto de los conceptos cuantificables. Esto significa que si una disposición laboral estatal es menos favorable o contraria a las normas colectivas, la norma colectiva se aplicará. Las usos y costumbres solo se aplican en defecto de disposiciones legales, convencionales o contractuales.","se resolverán mediante la aplicación de lo más favorable para el trabajador apreciado en su conjunto, y en cómputo anual, respecto de los conceptos cuantificables."
