,rouge1,rouge2,rougeL,f1,sas,bertscore
0,0.07,0.02,0.07,0.05,0.42342368,0.58
1,0.37,0.02,0.23,0.17,0.5323432,0.94
2,0.02,0.0,0.01,0.01,0.49135172,0.46
3,0.54,0.49,0.52,0.4,0.79596525,0.94
4,0.27,0.08,0.19,0.18,0.650231,0.94
5,0.01,0.0,0.01,0.0,0.170485,0.57
6,0.0,0.0,0.0,0.0,0.3734521,0.45
7,0.23,0.04,0.16,0.1,0.48206034,0.96
8,0.32,0.3,0.32,0.29,0.65275604,0.89
9,0.26,0.1,0.22,0.16,0.4708655,0.89
10,0.07,0.0,0.05,0.05,0.31048438,0.5
11,0.37,0.2,0.26,0.29,0.61362356,0.96
12,0.26,0.02,0.14,0.1,0.47997183,0.85
13,0.29,0.05,0.16,0.1,0.44981587,0.82
14,0.6,0.34,0.41,0.28,0.6780714,0.97
15,0.11,0.0,0.07,0.09,0.2638146,0.94
16,0.39,0.19,0.32,0.24,0.63733494,0.96
17,0.42,0.41,0.42,0.42,0.6785708,0.96
18,0.05,0.0,0.05,0.03,0.022416286,0.4
19,0.13,0.06,0.09,0.12,0.54908615,0.91
20,0.32,0.02,0.19,0.15,0.4689428,0.97
21,0.31,0.11,0.25,0.24,0.44157988,0.95
22,0.46,0.25,0.32,0.26,0.51123875,0.96
23,0.02,0.0,0.02,0.01,0.70148355,0.45
24,0.0,0.0,0.0,0.0,0.22159752,0.46
25,0.23,0.03,0.15,0.14,0.28639022,0.94
26,0.17,0.05,0.15,0.1,0.6632156,0.92
27,0.26,0.04,0.13,0.13,0.5249273,0.94
28,0.36,0.11,0.24,0.24,0.5819331,0.94
29,0.02,0.0,0.02,0.02,0.39899665,0.51
30,0.4,0.11,0.2,0.17,0.5852122,0.97
31,0.17,0.0,0.09,0.14,0.5353282,0.93
32,0.12,0.02,0.09,0.1,0.5681945,0.89
33,0.4,0.12,0.19,0.16,0.607468,0.98
34,0.22,0.04,0.13,0.12,0.5812123,0.92
35,0.01,0.0,0.01,0.01,0.5430698,0.58
36,0.47,0.14,0.24,0.25,0.60693645,0.98
37,0.11,0.03,0.1,0.05,0.6489768,0.87
38,0.31,0.05,0.18,0.19,0.54118633,0.96
39,0.02,0.0,0.02,0.0,0.5326287,0.52
40,0.27,0.09,0.21,0.17,0.43725428,0.97
41,0.01,0.0,0.01,0.0,0.60602003,0.43
42,0.0,0.0,0.0,0.0,0.41952094,0.37
43,0.24,0.12,0.16,0.14,0.55523175,0.92
44,0.0,0.0,0.0,0.0,0.34662762,0.42
45,0.27,0.06,0.2,0.14,0.30778426,0.97
46,0.09,0.02,0.06,0.06,0.5915543,0.8
47,0.15,0.05,0.11,0.11,0.630779,0.89
48,0.13,0.05,0.08,0.07,0.64202064,0.91
49,0.25,0.06,0.17,0.2,0.6113092,0.96
50,0.03,0.0,0.03,0.01,0.46435302,0.49
51,0.39,0.12,0.24,0.15,0.6797021,0.95
52,0.35,0.1,0.19,0.15,0.5106773,0.96
53,0.0,0.0,0.0,0.0,0.5000031,0.51
54,0.01,0.0,0.01,0.0,0.5659242,0.48
55,0.25,0.06,0.17,0.1,0.47990307,0.95
56,0.04,0.0,0.03,0.02,0.4981316,0.6
57,0.25,0.04,0.15,0.16,0.41327804,0.96
58,0.42,0.09,0.2,0.15,0.5560076,0.95
59,0.04,0.0,0.02,0.03,0.48998374,0.52
60,0.02,0.0,0.02,0.0,0.2720111,0.4
61,0.03,0.0,0.03,0.01,0.5006678,0.5
62,0.3,0.1,0.15,0.18,0.40775484,0.97
63,0.41,0.09,0.25,0.33,0.4604388,0.97
64,0.03,0.0,0.03,0.03,0.49747002,0.56
65,0.53,0.25,0.21,0.23,0.62036586,0.98
66,0.38,0.04,0.19,0.15,0.5493138,0.97
67,0.18,0.07,0.11,0.14,0.24116597,0.94
68,0.17,0.03,0.08,0.11,0.4660232,0.89
69,0.32,0.02,0.18,0.15,0.65935934,0.98
70,0.02,0.0,0.02,0.02,0.46006814,0.5
71,0.01,0.0,0.01,0.02,0.47339848,0.54
72,0.01,0.0,0.01,0.01,0.47667122,0.44
73,0.38,0.06,0.18,0.19,0.574366,0.96
74,0.01,0.0,0.01,0.0,0.5754611,0.47
75,0.34,0.1,0.22,0.19,0.6561721,0.98
76,0.39,0.1,0.21,0.14,0.6877579,0.98
77,0.29,0.07,0.17,0.16,0.5761073,0.96
78,0.08,0.02,0.07,0.07,0.67755294,0.85
79,0.23,0.06,0.14,0.16,0.68362015,0.9
80,0.35,0.07,0.19,0.12,0.5621194,0.98
81,0.03,0.02,0.03,0.02,0.4170569,0.44
82,0.76,0.72,0.76,0.63,0.7854639,0.99
83,0.02,0.01,0.02,0.01,0.48070115,0.56
84,0.01,0.0,0.01,0.01,0.21987,0.46
85,0.05,0.0,0.03,0.03,0.46534392,0.56
86,0.12,0.03,0.08,0.09,0.5014359,0.91
87,0.41,0.13,0.26,0.17,0.6480873,0.95
88,0.0,0.0,0.0,0.0,0.59757274,0.5
89,0.37,0.13,0.24,0.14,0.43479633,0.93
90,0.65,0.5,0.55,0.39,0.74065053,0.98
91,0.49,0.4,0.41,0.29,0.77022004,0.94
92,0.02,0.0,0.01,0.0,0.4678339,0.57
93,0.31,0.05,0.18,0.21,0.44838274,0.97
94,0.2,0.06,0.14,0.08,0.5805153,0.93
95,0.33,0.09,0.19,0.14,0.5965382,0.94
96,0.05,0.02,0.05,0.04,0.6646686,0.85
97,0.03,0.0,0.02,0.01,0.5299556,0.59
98,0.25,0.02,0.15,0.1,0.6181218,0.96
99,0.3,0.07,0.22,0.12,0.76080567,0.96
100,0.0,0.0,0.0,0.0,0.5643179,0.46
101,0.02,0.0,0.02,0.01,0.40230778,0.59
102,0.02,0.0,0.02,0.01,0.4556344,0.49
103,0.33,0.06,0.16,0.16,0.62109876,0.97
104,0.33,0.06,0.19,0.15,0.54876804,0.92
105,0.29,0.02,0.18,0.14,0.35742363,0.97
106,0.32,0.07,0.19,0.22,0.5670388,0.95
107,0.04,0.0,0.04,0.02,0.49174032,0.5
108,0.26,0.08,0.13,0.14,0.5152701,0.97
109,0.22,0.07,0.14,0.1,0.63481873,0.96
110,0.28,0.03,0.17,0.18,0.5957647,0.95
111,0.03,0.0,0.03,0.01,0.5658412,0.44
112,0.24,0.07,0.18,0.16,0.58829546,0.94
113,0.3,0.11,0.21,0.24,0.4801606,0.92
114,0.02,0.0,0.01,0.01,0.5893969,0.5
