,rouge1,rouge2,rougeL,f1,sas,bertscore
0,0.21,0.0,0.13,0.06,0.3137031,0.93
1,0.34,0.11,0.25,0.16,0.43486503,0.94
2,0.12,0.02,0.09,0.07,0.5487195,0.95
3,0.52,0.31,0.37,0.35,0.6700947,0.93
4,0.21,0.06,0.12,0.16,0.61196285,0.95
5,0.24,0.03,0.15,0.11,0.24066277,0.92
6,0.07,0.0,0.07,0.04,0.32051024,0.91
7,0.26,0.05,0.16,0.12,0.57996327,0.95
8,0.46,0.36,0.29,0.27,0.72764254,0.92
9,0.7,0.59,0.67,0.64,0.74497014,0.98
10,0.67,0.48,0.58,0.52,0.7086634,0.99
11,0.34,0.21,0.28,0.21,0.7500411,0.96
12,0.25,0.0,0.11,0.07,0.29755548,0.86
13,0.31,0.05,0.17,0.11,0.47874466,0.96
14,0.77,0.68,0.75,0.52,0.6865029,0.99
15,0.17,0.02,0.12,0.06,0.53727937,0.93
16,0.32,0.13,0.21,0.21,0.56076133,0.96
17,0.13,0.0,0.07,0.07,0.030577369,0.96
18,0.28,0.02,0.13,0.18,0.31739008,0.95
19,0.36,0.13,0.3,0.31,0.5661958,0.95
20,0.37,0.06,0.22,0.16,0.5924397,0.95
21,0.26,0.03,0.21,0.25,0.3848732,0.96
22,0.42,0.17,0.31,0.26,0.61319304,0.95
23,0.21,0.06,0.16,0.13,0.6543437,0.89
24,0.03,0.0,0.03,0.03,0.39581758,0.91
25,0.17,0.02,0.1,0.11,0.73058987,0.82
26,0.22,0.05,0.17,0.12,0.60741466,0.9
27,0.39,0.08,0.16,0.18,0.51791024,0.98
28,0.35,0.12,0.27,0.27,0.5679885,0.92
29,0.36,0.05,0.18,0.14,0.5807898,0.96
30,0.61,0.39,0.43,0.35,0.7643296,0.96
31,0.19,0.02,0.13,0.17,0.43750596,0.95
32,0.05,0.0,0.05,0.06,0.09544141,0.86
33,0.32,0.12,0.17,0.15,0.6156425,0.96
34,0.19,0.06,0.14,0.14,0.513715,0.92
35,0.06,0.03,0.06,0.04,0.5989876,0.78
36,0.37,0.13,0.22,0.26,0.7119054,0.95
37,0.4,0.1,0.19,0.13,0.5618689,0.94
38,0.3,0.05,0.18,0.18,0.6190622,0.94
39,0.1,0.02,0.09,0.06,0.48735353,0.93
40,0.27,0.12,0.2,0.21,0.35055658,0.97
41,0.34,0.13,0.21,0.24,0.6484001,0.95
42,0.27,0.08,0.16,0.2,0.45737883,0.96
43,0.22,0.1,0.16,0.15,0.57497466,0.91
44,0.25,0.09,0.2,0.22,0.3777847,0.95
45,0.33,0.09,0.2,0.2,0.4440523,0.96
46,0.18,0.04,0.13,0.15,0.5050848,0.91
47,0.34,0.11,0.18,0.16,0.5671986,0.94
48,0.33,0.2,0.33,0.2,0.52379656,0.97
49,0.42,0.18,0.26,0.2,0.5454382,0.96
50,0.3,0.04,0.17,0.15,0.5258558,0.93
51,0.4,0.11,0.21,0.22,0.5931996,0.97
52,0.26,0.07,0.17,0.13,0.50274503,0.93
53,0.25,0.03,0.13,0.15,0.5633972,0.93
54,0.32,0.06,0.18,0.14,0.56337273,0.96
55,0.29,0.1,0.21,0.13,0.36164466,0.95
56,0.55,0.35,0.45,0.31,0.6733134,0.97
57,0.19,0.03,0.14,0.1,0.4214283,0.9
58,0.41,0.11,0.23,0.2,0.6058318,0.97
59,0.39,0.08,0.18,0.15,0.61918,0.98
