,rouge1,rouge2,rougeL,f1,sas,bertscore
0,0.22,0.03,0.15,0.08,0.4346979,0.95
1,0.31,0.09,0.25,0.14,0.47918528,0.94
2,0.3,0.05,0.15,0.11,0.50691944,0.96
3,0.24,0.18,0.15,0.18,0.61061907,0.91
4,0.18,0.03,0.15,0.14,0.5767127,0.94
5,0.33,0.04,0.17,0.13,0.30728608,0.97
6,0.06,0.0,0.06,0.04,0.4541019,0.87
7,0.3,0.06,0.18,0.17,0.5798785,0.97
8,0.13,0.1,0.12,0.08,0.57737327,0.88
9,0.41,0.36,0.39,0.33,0.6147487,0.93
10,0.3,0.13,0.24,0.25,0.58846474,0.95
11,0.31,0.12,0.2,0.22,0.68405133,0.97
12,0.22,0.04,0.12,0.08,0.5723655,0.85
13,0.36,0.08,0.17,0.12,0.45813352,0.95
14,0.78,0.67,0.76,0.45,0.75398386,0.98
15,0.13,0.0,0.13,0.05,0.32746956,0.91
16,0.45,0.24,0.38,0.32,0.6585791,0.96
17,0.63,0.53,0.6,0.52,0.6255584,0.98
18,0.39,0.07,0.18,0.18,0.53395456,0.96
19,0.32,0.21,0.32,0.32,0.655057,0.94
20,0.41,0.06,0.21,0.16,0.55792755,0.98
21,0.25,0.06,0.19,0.2,0.51529706,0.95
22,0.35,0.1,0.28,0.2,0.67771333,0.96
23,0.34,0.08,0.16,0.17,0.4641592,0.97
24,0.05,0.0,0.05,0.06,0.24917802,0.9
25,0.22,0.01,0.13,0.15,0.37157595,0.93
26,0.13,0.03,0.1,0.07,0.48289785,0.9
27,0.36,0.08,0.18,0.14,0.49900872,0.97
28,0.29,0.06,0.16,0.2,0.5977193,0.94
29,0.4,0.1,0.22,0.16,0.4980653,0.93
30,0.52,0.33,0.39,0.33,0.75510883,0.95
31,0.21,0.03,0.13,0.18,0.5730513,0.95
32,0.16,0.0,0.11,0.12,0.6550034,0.88
33,0.38,0.1,0.18,0.16,0.6073737,0.97
34,0.23,0.07,0.14,0.16,0.5525812,0.92
35,0.23,0.05,0.13,0.11,0.6551563,0.94
36,0.43,0.14,0.22,0.19,0.6815062,0.97
37,0.4,0.08,0.22,0.09,0.5475862,0.97
38,0.35,0.09,0.19,0.2,0.5044645,0.95
39,0.3,0.07,0.15,0.13,0.6269279,0.95
40,0.25,0.06,0.17,0.16,0.37109038,0.96
41,0.27,0.12,0.22,0.17,0.642014,0.94
42,0.21,0.05,0.14,0.16,0.48785058,0.95
43,0.31,0.09,0.24,0.18,0.62515116,0.97
44,0.17,0.05,0.15,0.13,0.35788548,0.96
45,0.28,0.02,0.1,0.19,0.3442946,0.96
46,0.11,0.03,0.08,0.08,0.54870474,0.88
47,0.22,0.04,0.12,0.11,0.62397355,0.94
48,0.09,0.03,0.05,0.05,0.59497225,0.82
49,0.37,0.18,0.28,0.22,0.58432305,0.97
50,0.29,0.04,0.19,0.19,0.55731744,0.93
51,0.38,0.11,0.22,0.22,0.6031738,0.96
52,0.44,0.15,0.24,0.17,0.50056773,0.99
53,0.25,0.03,0.15,0.15,0.533191,0.96
54,0.35,0.07,0.18,0.19,0.5213872,0.97
55,0.33,0.12,0.24,0.16,0.523631,0.95
56,0.58,0.28,0.37,0.28,0.62296414,0.97
57,0.29,0.08,0.19,0.17,0.6064719,0.95
