,rouge1,rouge2,rougeL,f1,sas,bertscore
0,0.19,0.03,0.15,0.11,0.5027193,0.93
1,0.22,0.01,0.14,0.13,0.5493937,0.94
2,0.03,0.0,0.02,0.01,0.39181826,0.57
3,0.29,0.14,0.22,0.19,0.6245764,0.91
4,0.19,0.05,0.17,0.15,0.5407236,0.93
5,0.08,0.01,0.08,0.09,0.25247276,0.88
6,0.01,0.0,0.01,0.0,0.45331204,0.58
7,0.21,0.04,0.15,0.16,0.48737213,0.96
8,0.09,0.08,0.09,0.07,0.60345536,0.84
9,0.31,0.24,0.31,0.25,0.7000346,0.91
10,0.4,0.3,0.32,0.34,0.662034,0.93
11,0.23,0.08,0.15,0.14,0.6806442,0.96
12,0.01,0.0,0.01,0.0,0.3603949,0.66
13,0.3,0.04,0.16,0.11,0.532842,0.93
14,0.61,0.41,0.45,0.31,0.6072413,0.98
15,0.29,0.06,0.17,0.14,0.28872344,0.84
16,0.48,0.35,0.42,0.38,0.61716956,0.95
17,0.41,0.22,0.23,0.33,0.56814736,0.95
18,0.63,0.43,0.49,0.36,0.61970764,0.98
19,0.31,0.14,0.27,0.24,0.59566516,0.93
20,0.51,0.26,0.34,0.28,0.6819062,0.97
21,0.06,0.0,0.06,0.02,0.3844877,0.45
22,0.04,0.0,0.04,0.02,0.51542515,0.49
23,0.02,0.0,0.02,0.01,0.4476088,0.44
24,0.07,0.03,0.06,0.08,0.6465063,0.88
25,0.27,0.02,0.19,0.18,0.4459169,0.94
26,0.2,0.02,0.11,0.1,0.5086717,0.9
27,0.03,0.0,0.02,0.01,0.46197778,0.58
28,0.32,0.06,0.15,0.16,0.46349454,0.93
29,0.02,0.0,0.02,0.01,0.5629013,0.52
30,0.62,0.45,0.37,0.32,0.75305843,0.98
31,0.3,0.21,0.2,0.21,0.6725933,0.95
32,0.18,0.02,0.12,0.13,0.43333033,0.89
33,0.26,0.09,0.16,0.13,0.64838743,0.94
34,0.22,0.07,0.18,0.1,0.57753676,0.94
35,0.21,0.12,0.15,0.12,0.65290993,0.91
36,0.42,0.15,0.26,0.22,0.6833268,0.95
37,0.01,0.0,0.01,0.0,0.58164626,0.5
38,0.31,0.11,0.18,0.19,0.5862616,0.92
39,0.03,0.0,0.02,0.02,0.5354648,0.52
40,0.32,0.14,0.24,0.19,0.5919794,0.96
41,0.0,0.0,0.0,0.0,0.56668204,0.41
42,0.0,0.0,0.0,0.0,0.5813499,0.42
43,0.3,0.09,0.19,0.16,0.60320294,0.95
44,0.12,0.04,0.1,0.09,0.6789582,0.9
45,0.01,0.0,0.01,0.0,0.42981577,0.47
46,0.0,0.0,0.0,0.0,0.48779917,0.4
47,0.39,0.1,0.18,0.15,0.5700734,0.96
48,0.22,0.12,0.14,0.15,0.55825275,0.94
49,0.55,0.4,0.46,0.38,0.72667384,0.95
50,0.41,0.1,0.23,0.17,0.6232237,0.96
51,0.42,0.11,0.24,0.16,0.6378841,0.97
52,0.29,0.08,0.16,0.15,0.63246393,0.94
53,0.41,0.09,0.19,0.14,0.6021505,0.97
54,0.45,0.13,0.24,0.21,0.48024783,0.97
55,0.01,0.0,0.01,0.0,0.34139213,0.49
56,0.05,0.0,0.03,0.02,0.71820956,0.56
57,0.0,0.0,0.0,0.0,0.614877,0.47
58,0.48,0.15,0.29,0.2,0.593228,0.97
59,0.04,0.0,0.02,0.03,0.4521297,0.54
60,0.01,0.0,0.01,0.0,0.4537588,0.44
61,0.03,0.0,0.02,0.01,0.47787473,0.51
62,0.01,0.0,0.01,0.0,0.5122759,0.47
63,0.65,0.43,0.36,0.44,0.7308396,0.98
64,0.03,0.0,0.03,0.03,0.50975895,0.56
65,0.01,0.0,0.01,0.01,0.55810314,0.57
66,0.01,0.0,0.01,0.0,0.48137873,0.48
67,0.01,0.0,0.01,0.01,0.42807359,0.52
68,0.21,0.03,0.12,0.13,0.48941162,0.93
69,0.41,0.04,0.23,0.16,0.57885367,0.98
70,0.04,0.0,0.03,0.03,0.4108425,0.51
71,0.43,0.21,0.27,0.28,0.61472106,0.98
72,0.34,0.04,0.22,0.2,0.5647885,0.98
73,0.81,0.7,0.75,0.51,0.8103079,0.99
74,0.07,0.0,0.05,0.04,0.45434135,0.6
75,0.42,0.1,0.23,0.16,0.6079284,0.98
76,0.03,0.0,0.02,0.02,0.5968248,0.56
77,0.06,0.0,0.05,0.04,0.5801593,0.48
78,0.42,0.3,0.32,0.24,0.7799789,0.94
79,0.21,0.17,0.19,0.16,0.6556926,0.91
80,0.04,0.0,0.03,0.01,0.41348132,0.48
81,0.31,0.04,0.2,0.17,0.4850141,0.96
82,0.05,0.0,0.03,0.01,0.53982306,0.47
83,0.08,0.0,0.07,0.03,0.4845505,0.67
84,0.04,0.0,0.03,0.01,0.2173382,0.48
85,0.07,0.0,0.05,0.03,0.50061256,0.52
86,0.36,0.06,0.18,0.14,0.6256823,0.98
87,0.34,0.11,0.23,0.19,0.6798164,0.95
88,0.42,0.3,0.38,0.29,0.67124534,0.94
89,0.35,0.13,0.25,0.13,0.5330459,0.95
90,0.36,0.16,0.21,0.14,0.7079624,0.96
91,0.02,0.0,0.02,0.01,0.7276952,0.57
92,0.36,0.13,0.22,0.21,0.69247645,0.96
93,0.05,0.0,0.05,0.03,0.45486945,0.42
94,0.4,0.1,0.22,0.07,0.6376442,0.97
95,0.02,0.0,0.02,0.01,0.6023922,0.59
96,0.09,0.03,0.07,0.08,0.7223883,0.84
97,0.21,0.05,0.13,0.1,0.49588883,0.95
98,0.29,0.07,0.21,0.15,0.63740665,0.97
99,0.08,0.03,0.08,0.03,0.6985343,0.85
100,0.33,0.14,0.24,0.17,0.6344094,0.94
101,0.34,0.15,0.26,0.17,0.5281492,0.95
102,0.54,0.28,0.29,0.24,0.6956151,0.98
103,0.28,0.02,0.15,0.16,0.37311223,0.97
104,0.25,0.06,0.16,0.15,0.56580395,0.93
105,0.26,0.02,0.16,0.1,0.5573572,0.97
106,0.27,0.02,0.15,0.13,0.58080035,0.96
107,0.04,0.0,0.03,0.01,0.4122507,0.53
108,0.03,0.0,0.02,0.01,0.5093198,0.56
109,0.45,0.12,0.22,0.13,0.5575358,0.99
110,0.3,0.06,0.16,0.13,0.51048696,0.96
111,0.06,0.0,0.04,0.03,0.53254193,0.46
112,0.1,0.02,0.07,0.08,0.6450843,0.84
113,0.42,0.37,0.4,0.37,0.6833584,0.94
114,0.33,0.25,0.22,0.18,0.75782764,0.97
115,0.7,0.55,0.57,0.45,0.6582991,0.99
116,0.03,0.0,0.03,0.02,0.58227503,0.62
117,0.13,0.04,0.12,0.04,0.6253393,0.45
118,0.46,0.18,0.31,0.2,0.6554497,0.97
119,0.34,0.1,0.2,0.19,0.58492434,0.95
120,0.04,0.0,0.02,0.01,0.45839027,0.57
121,0.04,0.01,0.03,0.03,0.6215045,0.5
122,0.01,0.0,0.01,0.0,0.45862103,0.46
123,0.03,0.01,0.02,0.03,0.43322185,0.61
124,0.19,0.17,0.18,0.15,0.7231239,0.87
125,0.06,0.0,0.04,0.01,0.44403952,0.45
126,0.34,0.02,0.17,0.2,0.4117739,0.96
127,0.02,0.0,0.01,0.02,0.54011965,0.54
128,0.03,0.0,0.03,0.03,0.55729187,0.53
129,0.37,0.07,0.22,0.14,0.694687,0.96
130,0.4,0.11,0.21,0.21,0.60911095,0.92
131,0.1,0.01,0.09,0.06,0.63293564,0.9
132,0.01,0.0,0.01,0.01,0.5509906,0.49
133,0.4,0.1,0.25,0.17,0.7143177,0.98
134,0.34,0.06,0.18,0.17,0.60815996,0.96
135,0.45,0.11,0.23,0.1,0.5747819,0.97
136,0.04,0.0,0.04,0.02,0.54677916,0.57
137,0.28,0.07,0.17,0.1,0.6124713,0.91
138,0.44,0.15,0.25,0.15,0.6188021,0.94
