,rouge1,rouge2,rougeL,f1,sas,bertscore
0,0.28,0.06,0.25,0.19,0.5475043,0.92
1,0.28,0.03,0.17,0.18,0.54254836,0.94
2,0.2,0.04,0.12,0.09,0.5138037,0.94
3,0.43,0.27,0.34,0.3,0.54863614,0.92
4,0.13,0.07,0.13,0.11,0.5386218,0.93
5,0.12,0.0,0.1,0.06,0.35573882,0.91
6,0.13,0.03,0.1,0.11,0.38564703,0.9
7,0.21,0.05,0.16,0.13,0.60361797,0.96
8,0.13,0.0,0.07,0.08,0.1432008,0.88
9,0.36,0.13,0.3,0.26,0.57930833,0.92
10,0.44,0.18,0.27,0.35,0.65407443,0.97
11,0.46,0.35,0.42,0.31,0.7445358,0.97
12,0.22,0.03,0.14,0.07,0.32521334,0.87
13,0.34,0.08,0.19,0.11,0.5279753,0.94
14,0.77,0.68,0.73,0.5,0.68693423,0.99
15,0.08,0.0,0.08,0.06,0.29640806,0.89
16,0.39,0.26,0.3,0.25,0.5586025,0.97
17,0.56,0.45,0.54,0.54,0.5585485,0.97
18,0.46,0.4,0.43,0.28,0.7446361,0.96
19,0.15,0.08,0.11,0.12,0.5999315,0.93
20,0.58,0.42,0.45,0.34,0.6248298,0.95
21,0.31,0.05,0.26,0.29,0.39494258,0.94
22,0.69,0.5,0.53,0.44,0.68904895,0.98
23,0.24,0.05,0.13,0.15,0.562765,0.93
24,0.1,0.03,0.08,0.08,0.69530773,0.9
25,0.3,0.08,0.15,0.2,0.5706087,0.93
26,0.15,0.0,0.1,0.11,0.44594693,0.89
27,0.34,0.08,0.16,0.1,0.62752193,0.97
28,0.35,0.07,0.21,0.29,0.6432515,0.95
29,0.48,0.14,0.24,0.2,0.48674357,0.96
30,0.68,0.6,0.57,0.4,0.82017154,0.97
31,0.41,0.2,0.27,0.33,0.60644835,0.96
32,0.06,0.0,0.06,0.12,0.0782688,0.85
33,0.58,0.23,0.23,0.2,0.7078421,0.99
34,0.21,0.08,0.15,0.11,0.51646,0.94
35,0.5,0.35,0.32,0.22,0.6400575,0.97
36,0.48,0.23,0.21,0.25,0.71562225,0.96
37,0.39,0.11,0.2,0.12,0.5793964,0.98
38,0.37,0.07,0.2,0.21,0.5441842,0.95
39,0.29,0.06,0.17,0.14,0.6211392,0.96
40,0.35,0.09,0.26,0.23,0.39829364,0.97
41,0.32,0.15,0.22,0.21,0.6009199,0.95
42,0.27,0.12,0.19,0.22,0.6510679,0.93
43,0.26,0.06,0.17,0.17,0.46442556,0.95
44,0.33,0.08,0.24,0.18,0.453519,0.98
45,0.37,0.08,0.16,0.22,0.43857828,0.98
46,0.14,0.07,0.12,0.1,0.6473546,0.85
47,0.13,0.03,0.08,0.1,0.65332234,0.87
48,0.4,0.29,0.4,0.29,0.57760954,0.97
49,0.38,0.26,0.36,0.29,0.671073,0.96
50,0.32,0.04,0.19,0.09,0.4526729,0.94
51,0.33,0.11,0.24,0.16,0.5494353,0.94
52,0.1,0.03,0.09,0.09,0.65416217,0.87
53,0.35,0.1,0.19,0.17,0.5909256,0.97
54,0.32,0.11,0.18,0.19,0.596492,0.95
55,0.15,0.03,0.15,0.1,0.4489732,0.88
56,0.53,0.26,0.35,0.22,0.69432753,0.96
57,0.52,0.42,0.43,0.42,0.6912464,0.97
58,0.4,0.12,0.24,0.15,0.5087925,0.96
59,0.38,0.11,0.19,0.14,0.5640232,0.98
60,0.33,0.09,0.18,0.27,0.5560207,0.95
61,0.17,0.0,0.12,0.11,0.17144124,0.92
62,0.3,0.1,0.23,0.2,0.5199861,0.95
63,0.2,0.0,0.12,0.2,0.024263361,0.96
64,0.42,0.22,0.32,0.23,0.6212826,0.97
65,0.61,0.47,0.48,0.29,0.64417064,0.99
66,0.34,0.04,0.19,0.11,0.6394696,0.96
67,0.27,0.09,0.17,0.15,0.5883119,0.95
68,0.01,0.0,0.01,0.01,0.40829784,0.54
69,0.26,0.06,0.18,0.16,0.56576383,0.97
70,0.25,0.16,0.2,0.24,0.50828016,0.92
71,0.45,0.27,0.27,0.27,0.601509,0.97
72,0.35,0.06,0.19,0.19,0.55106324,0.97
73,0.55,0.39,0.4,0.4,0.66676235,0.97
74,0.26,0.04,0.15,0.12,0.59501207,0.92
75,0.35,0.13,0.22,0.21,0.6220582,0.97
76,0.5,0.15,0.23,0.14,0.6613896,0.98
77,0.42,0.29,0.37,0.4,0.65332586,0.93
78,0.16,0.13,0.14,0.12,0.6910295,0.85
79,0.78,0.64,0.65,0.62,0.7737127,0.97
80,0.3,0.03,0.17,0.1,0.49055958,0.97
81,0.78,0.65,0.72,0.6,0.817228,0.99
82,0.38,0.12,0.21,0.24,0.6495784,0.96
83,0.07,0.0,0.05,0.04,0.44589925,0.87
84,0.2,0.02,0.12,0.15,0.28248277,0.94
85,0.5,0.33,0.36,0.3,0.6478611,0.97
86,0.25,0.06,0.13,0.14,0.5216402,0.96
87,0.16,0.11,0.14,0.15,0.61264396,0.87
88,0.52,0.43,0.5,0.34,0.6762456,0.97
89,0.39,0.21,0.31,0.21,0.52455926,0.94
90,0.24,0.15,0.15,0.17,0.51599467,0.91
91,0.43,0.32,0.32,0.25,0.62965804,0.95
92,0.46,0.28,0.35,0.29,0.6616295,0.96
93,0.38,0.06,0.23,0.2,0.512077,0.96
94,0.29,0.06,0.18,0.08,0.5352105,0.97
95,0.38,0.09,0.18,0.15,0.62853366,0.96
96,0.13,0.03,0.12,0.09,0.6176596,0.91
97,0.17,0.04,0.13,0.07,0.5406556,0.93
98,0.38,0.13,0.25,0.2,0.6651527,0.94
99,0.21,0.03,0.11,0.11,0.57372457,0.9
100,0.39,0.13,0.24,0.19,0.5803082,0.97
101,0.41,0.16,0.26,0.16,0.6745757,0.95
102,0.35,0.23,0.27,0.15,0.75191087,0.92
103,0.1,0.01,0.09,0.11,0.3182111,0.92
104,0.38,0.04,0.17,0.17,0.49996138,0.96
105,0.3,0.04,0.17,0.16,0.4030581,0.97
106,0.27,0.04,0.2,0.17,0.47236553,0.95
107,0.69,0.51,0.5,0.39,0.6607237,0.99
108,0.19,0.04,0.1,0.09,0.48102564,0.93
109,0.35,0.12,0.2,0.13,0.59860134,0.97
110,0.27,0.03,0.15,0.15,0.5021713,0.94
111,0.33,0.05,0.18,0.12,0.6753959,0.96
112,0.22,0.05,0.18,0.1,0.32478526,0.95
113,0.35,0.05,0.22,0.27,0.32649958,0.94
114,0.2,0.13,0.16,0.12,0.6519481,0.91
115,0.53,0.42,0.46,0.39,0.59441507,0.96
116,0.56,0.47,0.48,0.38,0.7842902,0.97
117,0.33,0.11,0.2,0.2,0.63880324,0.96
118,0.32,0.26,0.29,0.22,0.69834083,0.93
119,0.34,0.07,0.22,0.17,0.54834336,0.93
120,0.06,0.04,0.05,0.05,0.43511662,0.83
121,0.27,0.11,0.21,0.17,0.6733214,0.91
122,0.4,0.12,0.23,0.2,0.61571324,0.97
123,0.29,0.1,0.16,0.17,0.5563383,0.94
124,0.39,0.28,0.29,0.3,0.73160076,0.94
125,0.39,0.06,0.19,0.15,0.49856487,0.98
126,0.29,0.04,0.13,0.13,0.4214335,0.95
127,0.42,0.1,0.19,0.19,0.49416843,0.97
128,0.23,0.07,0.21,0.13,0.63893205,0.95
129,0.13,0.02,0.08,0.07,0.60538757,0.9
130,0.35,0.07,0.18,0.2,0.5768996,0.97
131,0.21,0.03,0.13,0.09,0.34257916,0.96
132,0.3,0.02,0.16,0.15,0.59263146,0.95
133,0.26,0.1,0.19,0.19,0.6717503,0.95
134,0.13,0.06,0.12,0.11,0.66401744,0.84
135,0.26,0.04,0.15,0.09,0.4605995,0.93
136,0.27,0.14,0.18,0.13,0.664794,0.95
137,0.15,0.04,0.11,0.08,0.60638887,0.91
138,0.4,0.13,0.23,0.13,0.65528446,0.93
139,0.35,0.1,0.19,0.13,0.65595883,0.97
140,0.14,0.02,0.09,0.09,0.5752104,0.92
141,0.34,0.23,0.23,0.26,0.6400208,0.91
142,0.23,0.07,0.14,0.11,0.51418424,0.93
143,0.18,0.06,0.11,0.13,0.56299824,0.91
144,0.43,0.1,0.22,0.18,0.63056964,0.98
145,0.67,0.51,0.52,0.36,0.71761715,0.97
146,0.31,0.11,0.21,0.17,0.57873696,0.95
