,original,expandida,ground_truth
0,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,¿ a quién se le aplica el estatuto de los trabajadores ( en adelante et ) ?,"Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
1,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,¿ a quién se le aplica el estatuto de los trabajadores ( en adelante estatuto de los trabajadores ) ?,"Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
2,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,¿ a quién se le aplica el estatuto de los trabajadores ( en adelante estatuto jurídico ) ?,"Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
3,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,¿ a quién se le aplica el estatuto de los trabajadores ( en adelante personalidad jurídica ) ?,"Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
4,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,¿ a quién se le aplica el et ( en adelante et ) ?,"Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
5,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,¿ a quién se le aplica el et ( en adelante estatuto de los trabajadores ) ?,"Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
6,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,¿ a quién se le aplica el et ( en adelante estatuto jurídico ) ?,"Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
7,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,¿ a quién se le aplica el et ( en adelante personalidad jurídica ) ?,"Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
8,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,¿ a quién se le aplica el estatuto jurídico ( en adelante et ) ?,"Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
9,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,¿ a quién se le aplica el estatuto jurídico ( en adelante estatuto de los trabajadores ) ?,"Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
10,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,¿ a quién se le aplica el estatuto jurídico ( en adelante estatuto jurídico ) ?,"Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
11,¿A quién se le aplica el Estatuto de los Trabajadores (en adelante ET)?,¿ a quién se le aplica el estatuto jurídico ( en adelante personalidad jurídica ) ?,"Esta ley será de aplicación a los trabajadores que voluntariamente presten sus servicios retribuidos por cuenta ajena y dentro del ámbito de organización y dirección de otra persona, física o jurídica"
