,palabra,sinonimos
0,modificación,"['propuesta de modificación', 'modificacion', 'mod']"
1,adopción,"['adopcion', 'filiación adoptiva']"
2,dietas y gastos,"['gastos de viaje', 'remuneración']"
3,jornada,"['trabajo a media jornada', 'día laborable']"
4,pagaré,"['certificado de depósito', 'pagare']"
5,institución pública,"['organismo público de españa', 'organismo público', 'organismo publico', 'organismo público (españa)', 'institución', 'institucion', 'institucional', 'instituciones']"
6,asociación,"['sociedad', 'unión', 'corporación', 'cooperativa']"
7,período de prueba,"['período de prácticas', 'periodo']"
8,contaminación,"['coste de los daños medioambientales', 'vertidos toxicos', 'contaminante', 'la contaminacion', 'contaminado', 'la contaminación', 'emision contaminante', 'contaminacion ambiental', 'contaminada', 'contaminar', 'contaminacion', 'polucion', 'contaminación ambiental', 'vertidos tóxicos', 'polución', 'emisión contaminante']"
9,secretario judicial,"['actuario', 'funcionario judicial']"
10,movimiento de consumidores,"['organización de consumidores', 'movimiento social', 'movimientos sociales']"
11,patrimonio,['salvaguardia del patrimonio cultural']
12,salario mínimo interprofesional,"['smi', 'salario', 'remuneración salarial', 'salario-hora profesional', 'salarial', 'tarifa de salarios', 'sueldo', 'jornal', 'nómina', 'salario móvil', 'honorarios', 'estipendio', 'salario por unidad de obra']"
13,derechos de los pasajeros,"['indicador de rendimiento clave', 'derechos de los pasajeros de tren', 'derecho']"
14,jurisdicción,"['sistema jurisdiccional', 'competencia judicial']"
15,renovación urbana,['revitalización urbana']
16,extranjero,"['extranjeros', 'extranjera']"
17,jornada,"['jornada de trabajo', 'día laborable', 'jornada laboral', 'organización del trabajo']"
18,análisis de coste-eficacia,"['eficacia en función de los costes', 'análisis', 'examen', 'evaluación', 'estimación', 'apreciación', 'enjuiciamiento', 'valoración']"
19,calidad del producto,"['criterio de calidad', 'consumidores', 'economato', 'organización de consumidores', 'legislación en materia de protección de los consumidores', 'plan de acción en favor de los consumidores', 'política de consumo']"
20,jornada de trabajo,"['jornada laboral', 'jornada', 'trabajo a media jornada', 'día laborable']"
21,comunidad de bienes,"['sociedad conyugal', 'comunidad', 'cymuned']"
22,organismo público,"['entidad de derecho público', 'organismo de derecho público', 'organismo publico', 'organismo público de españa', 'organismo público (españa)', 'organismo']"
23,productividad,['productividad biológica']
24,migración,"['repatriado', 'reunificación familiar', 'migratorio', 'migraciones', 'migración interna', 'tasa de migración', 'migración elegida', 'nuevo asentamiento', 'estadísticas de asilo', 'migración estacional', 'migración de trabajo', 'migratoria', 'migración clandestina', 'emigra', 'migrante comunitario', 'migracion', 'mujer migrante', 'éxodo rural', 'trayecto domicilio-trabajo']"
25,derecho de litigar,"['derecho de recurso', 'derecho civil', 'derecho común']"
26,trabajo,['empleo']
27,política pública,"['política gubernamental', 'políticas públicas', 'política', 'politica']"
28,incapacidad,"['incapacidad civil', 'incapacidad contractual']"
29,funcionario público,"['servidor público', 'cargo público', 'funcionario publico', 'funcionario']"
30,permiso de maternidad,"['permiso por maternidad', 'ausencia']"
31,convenio colectivo,"['acuerdo colectivo', 'contrato', 'contrato laboral', 'contrato por internet', 'acuerdo', 'convenio']"
32,administración,['ubicación del organismo público']
33,administración electrónica,"['administración digital', 'administración pública', 'administración del estado', 'gestion publica', 'administración publica', 'oficinas publicas', 'administracion pública', 'oficinas públicas', 'gestión pública', 'gestión publica', 'gestion pública', 'administraciones públicas', 'administracion del estado', 'administracion publica', 'administraciones publicas']"
34,acoso laboral,"['acoso moral en el trabajo', 'hostigamiento laboral', 'violencia psicológica en el trabajo', 'mobbing', 'acoso']"
35,sentencia,"['vía ejecutiva', 'sentencia judicial', 'juicio']"
36,seguridad social,"['protección social', 'seguro social', 'sistema de previsión social', 'previsión social']"
37,trabajo dominical,"['trabajo en días no laborables', 'jornada', 'jornada de trabajo', 'día laborable', 'jornada laboral']"
38,acción,['programa de acción']
39,publicidad abusiva,"['publicidad engañosa', 'publicidad falsa', 'publicidad', 'publicitaria', 'mensajes publicitarios', 'diseno publictario', 'spam', 'advertising', 'hacer publico', 'medidas de publicidad', 'diseno publicitario', 'publicidad falsa', 'diseño publicitario', 'reclamación (por mercancía defectuosa)', 'diseño publictario', 'publicitario', 'hacer público', 'mensajes comerciales', 'publicidad comercial', 'propaganda', 'publicidades', 'reclame']"
40,riesgo,"['riesgos', 'arriesgado']"
41,turismo,"['viaje por motivos de salud', 'turismo ético', 'turismo náutico', 'turismo de congresos', 'vacaciones en el campo', 'turismo respetuoso del medio ambiente', 'peregrinaje']"
42,víctima,"['perjudicado', 'parte perjudicada']"
43,ámbito territorial,"['ámbito de aplicación territorial', 'ámbito de aplicación']"
44,derecho de los consumidores,"['legislación en materia de protección de los consumidores', 'derecho en materia de protección de los consumidores', 'consumidores', 'economato', 'organización de consumidores', 'legislación en materia de protección de los consumidores', 'plan de acción en favor de los consumidores', 'política de consumo']"
45,aplicación,"['despliegue', 'implementación', 'aplicar', 'un sistema de precios mínimos', 'en sustitución de los contingentes']"
46,entidad jurídica,"['entidad legal', 'ente jurídico']"
47,hora extraordinaria,"['hora extra', 'jornada', 'jornada de trabajo', 'día laborable', 'jornada laboral']"
48,especialización profesional,['reciclaje de conocimientos']
49,extinción del contrato,"['extinción de la relación laboral', 'despido']"
50,paro,['índice de desempleo']
51,asalariado,"['trabajador asalariado', 'categoría profesional']"
52,sede de la administración,['ubicación del organismo público']
53,costes ambientales,['coste ecológico']
54,profesión,"['carrera profesional', 'profesiones', 'profesion']"
55,pluriempleo,['actividad complementaria']
56,traslado,"['cambio de puesto', 'cambio de lugar de trabajo']"
57,contrato,"['contrato laboral', 'contrato por internet', 'acuerdo', 'convenio', 'contratación']"
58,exclusión social,['marginación social']
59,consejero,"['miembro del consejo de gobierno', 'trabajador por cuenta propia', 'conseller', 'ministro']"
60,ausencia del trabajo,"['ausencia', 'ausencia']"
61,administración pública,"['administración del estado', 'gestion publica', 'administración publica', 'oficinas publicas', 'administracion pública', 'oficinas públicas', 'gestión pública', 'gestión publica', 'gestion pública', 'administraciones públicas', 'administracion del estado', 'administracion publica', 'administraciones publicas', 'administración central']"
62,pensionista,"['rentista', 'retirado', 'jubilado', 'pensión', 'pensión (hospedaje)', 'posada secreta', 'casa de huéspedes']"
63,profesión jurídica,"['procurador', 'profesión', 'carrera profesional', 'profesiones', 'profesion']"
64,medida,['unidad de medida']
65,contrato de interinidad,"['trabajo interino', 'contrato', 'contrato laboral', 'contrato por internet', 'acuerdo', 'convenio']"
66,movimiento social,['movimientos sociales']
67,responsabilidad,"['responsabilidad por los daños ecológicos', 'responsabilidad pública', 'responsabilidad legal', 'responsabilidad medioambiental de la empresa', 'utilización pacífica del espacio', 'sociedad limitada', 'responsabilidad del gobierno', 'minoría de edad en derecho penal', 'responsabilidad de la administración pública', 'responsabilidad por vicios ocultos', 'acción por daños y perjuicios']"
68,descanso,"['pausa', 'recreo', 'baja', 'ausencia']"
69,puesto de trabajo,['puesto de trabajo de proceso de datos']
70,demanda,['escrito de recurso']
71,parque móvil,['parque automovilístico']
72,horario de trabajo,"['hora de trabajo', 'jornada', 'jornada de trabajo', 'día laborable', 'jornada laboral']"
73,acto jurídico,"['acto legal', 'acto jurídico de la unión', 'accion legal', 'acción judicial', 'acción legal', 'acción', 'programa de acción']"
74,bienes y servicios,"['bienes fisicos y servicios intangibles', 'bienes físicos y servicios intangibles']"
75,trabajo a distancia,"['teletrabajo', 'trabajo atípico']"
76,salario,"['remuneración salarial', 'salario-hora profesional', 'salarial', 'tarifa de salarios', 'sueldo', 'jornal', 'nómina', 'salario móvil', 'honorarios', 'estipendio', 'salario por unidad de obra']"
